ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,1.1187,1.7496,1.3227,0.0185,0.2729,0.343,0.8333
BIMBOA.MX,arima,0.7537,0.6381,0.7988,0.0127,-1.785,-1.6756,0.3333
BIMBOA.MX,lgbm,1.1692,2.0082,1.4171,0.0193,0.1655,0.2909,0.8333
BIMBOA.MX,rf,1.427,2.594,1.6106,0.0235,0.3846,0.438,0.8333
BIMBOA.MX,xgb,0.7877,0.7282,0.8533,0.0133,-2.1784,-1.9484,0.3333
CEMEXCPO.MX,Top3Ensamble,0.3534,0.2398,0.4897,0.0165,0.1621,0.2881,0.3333
CEMEXCPO.MX,arima,0.329,0.209,0.4571,0.0154,0.2701,0.2997,0.3333
CEMEXCPO.MX,rf,0.3978,0.2802,0.5294,0.0186,0.0211,0.2673,0.3333
CEMEXCPO.MX,xgb,0.4742,0.3946,0.6282,0.0218,-0.2284,0.1141,0.3333
EEM,Top3Ensamble,0.3534,0.213,0.4616,0.0063,0.9116,0.9125,0.0
EEM,arima,0.2804,0.1033,0.3215,0.0052,0.6324,0.7602,0.1667
EEM,rf,0.5378,0.3925,0.6265,0.0096,0.8371,0.8528,0.0
EEM,xgb,0.5545,0.3873,0.6223,0.0097,-1.71,-0.6083,0.3333
GFNORTEO.MX,Top3Ensamble,1.6529,4.7847,2.1874,0.0097,-0.7167,-0.6998,0.8333
GFNORTEO.MX,lgbm,1.5536,3.713,1.9269,0.0091,-0.4409,-0.3287,0.8333
GFNORTEO.MX,rf,1.5321,4.4571,2.1112,0.009,-0.5992,-0.5678,0.8333
GFNORTEO.MX,xgb,1.9729,6.6622,2.5811,0.0117,-1.3577,-1.1695,0.8333
GLD,Top3Ensamble,5.3702,53.1782,7.2923,0.0131,0.1972,0.2707,0.8333
GLD,arima,4.6332,43.6282,6.6052,0.0114,0.3413,0.3494,0.8333
GLD,lgbm,4.0275,31.2799,5.5928,0.0097,-0.2026,0.2483,0.8333
GLD,rf,7.18,87.9287,9.377,0.0175,-0.3275,-0.1097,0.8333
GLD,xgb,5.5773,57.2365,7.5655,0.0138,-0.3603,-0.3399,0.8333
IEF,Top3Ensamble,0.2405,0.0852,0.2919,0.0025,-1.697,-1.4351,0.3333
IEF,arima,0.2221,0.0718,0.268,0.0023,-0.4333,-0.3074,0.3333
IEF,lgbm,0.2677,0.0978,0.3127,0.0028,-0.951,-0.906,0.3333
IEF,linreg,0.4724,0.3003,0.548,0.0049,-31.9772,-7.4655,0.3333
IEF,rf,0.1874,0.0524,0.229,0.0019,-0.6598,-0.6596,0.3333
IEF,xgb,0.239,0.0819,0.2862,0.0025,-7.9936,-5.7142,0.3333
QQQ,Top3Ensamble,3.3698,17.7186,4.2093,0.0054,0.2146,0.3454,0.8333
QQQ,lgbm,3.2317,18.6539,4.319,0.0052,0.1731,0.2125,0.8333
QQQ,rf,3.7282,20.9885,4.5813,0.006,0.0696,0.3131,0.8333
QQQ,xgb,3.4479,17.7605,4.2143,0.0056,0.0941,0.1927,0.8333
SPY,Top3Ensamble,2.9493,11.621,3.409,0.0043,0.5439,0.6403,0.8333
SPY,arima,3.0071,11.9804,3.4613,0.0044,0.3631,0.369,0.8333
SPY,lgbm,2.3587,7.8284,2.7979,0.0034,-0.1658,-0.0277,0.8333
SPY,rf,3.2326,14.3081,3.7826,0.0047,0.4384,0.6415,0.8333
SPY,xgb,3.6726,17.0344,4.1273,0.0054,0.0944,0.416,0.8333
VNQ,Top3Ensamble,0.4427,0.25,0.5,0.005,0.0806,0.0913,0.3333
VNQ,arima,0.4831,0.3124,0.5589,0.0054,-0.2729,-0.041,0.3333
VNQ,lgbm,0.4426,0.2777,0.527,0.005,-1.2722,0.1184,0.3333
VNQ,rf,0.4523,0.3147,0.561,0.0051,-0.1574,0.0227,0.3333
VNQ,xgb,0.4662,0.2277,0.4772,0.0053,-0.8627,-0.6734,0.3333
WALMEX.MX,Top3Ensamble,0.4719,0.4518,0.6722,0.0083,-0.1042,-0.077,0.3333
WALMEX.MX,arima,0.5011,0.5245,0.7243,0.0087,-0.4164,-0.3181,0.3333
WALMEX.MX,lgbm,0.6089,0.6052,0.778,0.0106,-0.6343,-0.462,0.3333
WALMEX.MX,rf,0.4614,0.4383,0.6621,0.0081,-0.0712,0.0453,0.3333
WALMEX.MX,xgb,0.4471,0.4563,0.6755,0.0079,-1.5103,-1.373,0.3333
