ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,1.0983,2.0799,1.4422,0.0175,-0.3108,-0.2821,0.8333
BIMBOA.MX,arima,1.1473,2.0957,1.4477,0.0183,-0.3208,-0.2786,0.8333
BIMBOA.MX,lgbm,1.0921,2.1121,1.4533,0.0174,-0.3312,-0.327,0.8333
BIMBOA.MX,xgb,1.0873,2.1512,1.4667,0.0173,-0.3558,-0.2988,0.8333
CEMEXCPO.MX,Top3Ensamble,0.36,0.323,0.5683,0.0202,0.0391,0.1387,0.3333
CEMEXCPO.MX,arima,0.3526,0.2997,0.5474,0.0198,0.1086,0.1524,0.3333
CEMEXCPO.MX,rf,0.3859,0.3606,0.6005,0.0217,-0.0728,0.1052,0.3333
EEM,Top3Ensamble,0.6391,0.7312,0.8551,0.0119,0.1919,0.2137,0.3333
EEM,arima,0.6029,0.6285,0.7928,0.0112,0.3054,0.3128,0.3333
EEM,rf,0.6829,0.8649,0.93,0.0127,0.044,0.0879,0.3333
GFNORTEO.MX,Top3Ensamble,3.2132,15.941,3.9926,0.0184,-2.2269,-1.8129,0.8333
GFNORTEO.MX,rf,4.9056,45.5131,6.7463,0.028,-8.2132,-6.298,0.8333
GFNORTEO.MX,xgb,1.7907,5.1411,2.2674,0.0103,-0.0407,-0.0313,0.8333
GLD,Top3Ensamble,6.8888,87.1314,9.3344,0.0181,0.255,0.2573,0.8333
GLD,arima,7.1462,90.6879,9.523,0.0188,0.2246,0.2252,0.8333
GLD,rf,6.7625,86.3829,9.2942,0.0177,0.2614,0.2632,0.8333
GLD,xgb,7.1326,86.6258,9.3073,0.0187,0.2593,0.2757,0.8333
IEF,Top3Ensamble,0.1911,0.062,0.249,0.002,0.6575,0.7582,0.1667
IEF,arima,0.1625,0.0527,0.2295,0.0017,0.7091,0.7278,0.0
IEF,lgbm,0.2358,0.0883,0.2972,0.0024,0.5124,0.7875,0.1667
IEF,rf,0.196,0.0637,0.2525,0.002,0.6481,0.7327,0.1667
QQQ,Top3Ensamble,6.2608,64.4588,8.0286,0.0103,0.4446,0.4545,0.8333
QQQ,lgbm,6.4849,65.4194,8.0882,0.0107,0.4363,0.4405,0.8333
QQQ,rf,6.266,65.0884,8.0677,0.0103,0.4392,0.455,0.8333
QQQ,xgb,6.3441,65.3376,8.0832,0.0105,0.4371,0.4487,0.8333
SPY,Top3Ensamble,4.9411,41.3607,6.4312,0.0074,0.4537,0.468,0.8333
SPY,arima,4.722,43.1794,6.5711,0.0071,0.4297,0.4325,0.8333
SPY,rf,4.8796,40.2993,6.3482,0.0073,0.4677,0.4845,0.8333
SPY,xgb,5.4069,46.4295,6.8139,0.0081,0.3868,0.466,0.8333
VNQ,Top3Ensamble,0.6183,0.6285,0.7928,0.0068,0.6799,0.6938,0.3333
VNQ,lgbm,0.6311,0.6737,0.8208,0.007,0.6569,0.6808,0.3333
VNQ,rf,0.6814,0.679,0.824,0.0075,0.6542,0.6555,0.3333
VNQ,xgb,0.6504,0.663,0.8142,0.0072,0.6624,0.6886,0.3333
WALMEX.MX,Top3Ensamble,0.8879,1.654,1.2861,0.0147,0.7042,0.842,0.3333
WALMEX.MX,rf,1.0396,1.9086,1.3815,0.0172,0.6587,0.8321,0.6667
WALMEX.MX,xgb,0.8311,1.5572,1.2479,0.0137,0.7215,0.8278,0.3333
