ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.5755,0.426,0.6527,0.01,0.8059,0.8348,0.0
BIMBOA.MX,arima,0.5274,0.4199,0.648,0.0092,0.8086,0.8258,0.0
BIMBOA.MX,lgbm,0.7001,0.6973,0.835,0.0122,0.6822,0.7311,0.1667
BIMBOA.MX,xgb,0.5374,0.4098,0.6402,0.0094,0.8132,0.8383,0.0
CEMEXCPO.MX,Top3Ensamble,0.2934,0.1211,0.3479,0.0179,-0.705,0.3868,0.3333
CEMEXCPO.MX,arima,0.0956,0.0156,0.1248,0.0058,0.7806,0.8162,0.0
CEMEXCPO.MX,lgbm,0.1762,0.0444,0.2108,0.0107,0.3743,0.5638,0.3333
CEMEXCPO.MX,linreg,0.669,0.6049,0.7777,0.0408,-7.5191,-1.2152,0.3333
EEM,Top3Ensamble,0.324,0.1876,0.4331,0.0065,-0.4635,-0.3486,0.3333
EEM,arima,0.3251,0.1728,0.4157,0.0065,-0.3486,-0.342,0.3333
EEM,lgbm,0.3696,0.2385,0.4884,0.0074,-0.8611,-0.516,0.3333
EEM,rf,0.3125,0.1824,0.427,0.0062,-0.4229,-0.3018,0.3333
GFNORTEO.MX,Top3Ensamble,1.6112,3.9491,1.9872,0.0096,-0.2427,0.011,0.8333
GFNORTEO.MX,arima,1.5307,3.309,1.8191,0.0091,-0.0413,0.0084,0.8333
GFNORTEO.MX,lgbm,1.852,5.268,2.2952,0.011,-0.6578,-0.0424,0.8333
GLD,Top3Ensamble,1.7367,5.6364,2.3741,0.0056,0.1856,0.2429,0.8333
GLD,arima,1.6284,4.1476,2.0366,0.0053,0.4007,0.4141,0.8333
GLD,lgbm,1.9334,7.999,2.8283,0.0063,-0.1557,-0.0241,0.8333
IEF,Top3Ensamble,0.231,0.0728,0.2698,0.0024,0.1736,0.259,0.3333
IEF,lgbm,0.2503,0.0924,0.3039,0.0026,-0.0484,0.1192,0.3333
IEF,rf,0.2184,0.0626,0.2502,0.0023,0.2896,0.3121,0.3333
IEF,xgb,0.2376,0.0715,0.2674,0.0025,0.1884,0.289,0.3333
QQQ,Top3Ensamble,3.516,21.3598,4.6217,0.0061,0.1223,0.243,0.8333
QQQ,arima,3.2493,17.6909,4.2061,0.0057,0.2731,0.2812,0.8333
QQQ,lgbm,4.1285,24.805,4.9805,0.0072,-0.0192,0.1655,0.8333
QQQ,xgb,3.9293,27.4985,5.2439,0.0068,-0.1299,0.1429,0.8333
SPY,Top3Ensamble,2.9881,15.805,3.9755,0.0046,-0.0207,0.1224,0.8333
SPY,arima,2.9179,14.1248,3.7583,0.0045,0.0878,0.1392,0.8333
SPY,lgbm,2.8708,15.2339,3.9031,0.0045,0.0162,0.0925,0.8333
SPY,xgb,3.5735,21.4595,4.6324,0.0056,-0.3859,0.0134,0.8333
VNQ,Top3Ensamble,0.6834,0.669,0.8179,0.0076,0.5483,0.5511,0.3333
VNQ,lgbm,0.7339,0.7748,0.8802,0.0081,0.4769,0.4904,0.3333
VNQ,rf,0.6505,0.6118,0.7822,0.0072,0.5869,0.5911,0.3333
VNQ,xgb,0.6713,0.6713,0.8194,0.0074,0.5467,0.5472,0.3333
WALMEX.MX,Top3Ensamble,0.5649,0.5787,0.7607,0.0101,-0.1434,0.4395,0.3333
WALMEX.MX,arima,0.4999,0.4059,0.6371,0.0089,0.1981,0.1981,0.3333
WALMEX.MX,linreg,1.3926,2.3843,1.5441,0.0248,-3.7109,0.1208,0.8333
WALMEX.MX,rf,0.4862,0.4057,0.6369,0.0087,0.1985,0.3077,0.3333
