ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.4483,0.3029,0.5503,0.0081,0.6375,0.6376,0.3333
BIMBOA.MX,arima,0.5769,0.484,0.6957,0.0104,0.4208,0.4328,0.3333
BIMBOA.MX,lgbm,0.444,0.2981,0.546,0.008,0.6432,0.6488,0.3333
BIMBOA.MX,xgb,0.432,0.3693,0.6077,0.0078,0.558,0.558,0.3333
CEMEXCPO.MX,Top3Ensamble,0.293,0.1252,0.3539,0.0183,-0.8123,-0.406,0.3333
CEMEXCPO.MX,arima,0.2057,0.0811,0.2848,0.0129,-0.174,-0.1677,0.3333
CEMEXCPO.MX,lgbm,0.2565,0.1027,0.3204,0.0161,-0.4857,-0.447,0.3333
CEMEXCPO.MX,linreg,0.4836,0.337,0.5805,0.0301,-3.8772,-1.2009,0.3333
EEM,Top3Ensamble,0.3244,0.1463,0.3825,0.0066,0.6369,0.7055,0.1667
EEM,arima,0.3075,0.1346,0.3668,0.0062,0.6661,0.6743,0.3333
EEM,lgbm,0.3701,0.1934,0.4398,0.0075,0.52,0.7185,0.1667
EEM,rf,0.3291,0.1493,0.3864,0.0067,0.6294,0.6918,0.3333
GFNORTEO.MX,Top3Ensamble,1.3473,2.7148,1.6477,0.008,-0.136,-0.0008,0.8333
GFNORTEO.MX,arima,1.3676,2.7986,1.6729,0.0082,-0.1711,-0.1635,0.8333
GFNORTEO.MX,lgbm,1.5239,3.2163,1.7934,0.0091,-0.3459,0.0746,0.8333
GLD,Top3Ensamble,2.0525,8.8257,2.9708,0.0067,0.1587,0.1856,0.8333
GLD,arima,1.8971,7.1936,2.6821,0.0062,0.3143,0.3246,0.8333
GLD,lgbm,2.3448,11.2259,3.3505,0.0076,-0.0701,-0.019,0.8333
IEF,Top3Ensamble,0.2311,0.0963,0.3104,0.0024,-0.0865,-0.049,0.3333
IEF,lgbm,0.2235,0.0929,0.3049,0.0023,-0.0482,0.0122,0.3333
IEF,rf,0.2241,0.0957,0.3093,0.0023,-0.079,-0.0678,0.3333
IEF,xgb,0.2589,0.1103,0.3322,0.0027,-0.2446,-0.1918,0.3333
QQQ,Top3Ensamble,3.6092,26.7111,5.1683,0.0064,0.5389,0.6118,0.8333
QQQ,arima,3.7739,26.3492,5.1331,0.0067,0.5451,0.5498,0.8333
QQQ,lgbm,3.9869,29.833,5.462,0.007,0.485,0.6171,0.8333
QQQ,xgb,4.2393,31.3816,5.6019,0.0075,0.4583,0.6014,0.8333
SPY,Top3Ensamble,3.3104,23.8015,4.8787,0.0052,0.4494,0.476,0.8333
SPY,arima,3.4037,21.0813,4.5914,0.0054,0.5123,0.5133,0.8333
SPY,lgbm,3.3509,24.052,4.9043,0.0053,0.4436,0.4611,0.8333
SPY,xgb,3.7425,28.9109,5.3769,0.0059,0.3312,0.4374,0.8333
VNQ,Top3Ensamble,0.7297,0.6831,0.8265,0.0081,-0.1437,-0.0938,0.3333
VNQ,lgbm,0.7455,0.748,0.8649,0.0083,-0.2523,-0.2433,0.3333
VNQ,rf,0.7374,0.6753,0.8218,0.0082,-0.1306,-0.0715,0.3333
VNQ,xgb,0.7297,0.7185,0.8476,0.0081,-0.203,-0.0927,0.3333
WALMEX.MX,Top3Ensamble,0.7982,1.2825,1.1325,0.0142,-0.2131,-0.1943,0.6667
WALMEX.MX,arima,0.7782,1.2905,1.136,0.0139,-0.2207,-0.2016,0.6667
WALMEX.MX,linreg,1.1083,2.0612,1.4357,0.0197,-0.9497,-0.7382,0.8333
WALMEX.MX,rf,0.7573,1.1805,1.0865,0.0135,-0.1166,-0.1084,0.6667
