ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.8069,1.1959,1.0936,0.0127,0.1012,0.2593,0.6667
BIMBOA.MX,arima,0.7605,0.9098,0.9539,0.012,0.3162,0.3629,0.3333
BIMBOA.MX,lgbm,0.9237,1.5066,1.2274,0.0145,-0.1323,0.2218,0.6667
BIMBOA.MX,xgb,0.88,1.3865,1.1775,0.0139,-0.042,0.1036,0.6667
CEMEXCPO.MX,Top3Ensamble,0.4106,0.2243,0.4736,0.0238,-0.7086,0.4204,0.3333
CEMEXCPO.MX,arima,0.2364,0.0774,0.2781,0.0139,0.4106,0.4196,0.3333
CEMEXCPO.MX,lgbm,0.2312,0.0784,0.28,0.0135,0.4029,0.4181,0.3333
CEMEXCPO.MX,linreg,1.1446,1.4225,1.1927,0.0665,-9.8381,0.1426,1.0
EEM,Top3Ensamble,0.3353,0.1823,0.4269,0.0065,0.8492,0.9019,0.0
EEM,arima,0.2822,0.1153,0.3396,0.0054,0.9046,0.9228,0.0
EEM,lgbm,0.4537,0.3037,0.5511,0.0088,0.7487,0.8359,0.0
EEM,rf,0.3343,0.1881,0.4337,0.0064,0.8444,0.9112,0.0
GFNORTEO.MX,Top3Ensamble,2.5857,8.6587,2.9426,0.0144,0.5109,0.5298,0.8333
GFNORTEO.MX,arima,2.4543,7.5673,2.7509,0.0137,0.5726,0.5739,0.8333
GFNORTEO.MX,lgbm,2.7236,10.2469,3.2011,0.0151,0.4212,0.4782,0.8333
GLD,Top3Ensamble,2.3592,7.9789,2.8247,0.007,0.7195,0.7326,0.5
GLD,arima,2.2849,7.2637,2.6951,0.0068,0.7446,0.7586,0.5
GLD,lgbm,2.612,9.9992,3.1621,0.0077,0.6485,0.6607,0.8333
IEF,Top3Ensamble,0.2353,0.0727,0.2697,0.0024,0.1926,0.3382,0.3333
IEF,lgbm,0.237,0.0787,0.2806,0.0024,0.1259,0.3285,0.3333
IEF,rf,0.2363,0.0672,0.2592,0.0024,0.2538,0.3231,0.3333
IEF,xgb,0.2365,0.0788,0.2808,0.0024,0.1247,0.3108,0.3333
QQQ,Top3Ensamble,4.4623,27.1627,5.2118,0.0076,0.6338,0.8949,0.6667
QQQ,arima,2.8738,10.573,3.2516,0.0049,0.8575,0.8885,0.5
QQQ,lgbm,4.1712,23.189,4.8155,0.0071,0.6874,0.8963,0.6667
QQQ,xgb,7.7482,70.8587,8.4178,0.0132,0.0447,0.8541,0.6667
SPY,Top3Ensamble,4.0265,23.1401,4.8104,0.0061,0.3541,0.6533,0.8333
SPY,arima,2.5322,8.3693,2.893,0.0039,0.7664,0.7841,0.5
SPY,lgbm,3.6966,20.4824,4.5257,0.0056,0.4283,0.6699,0.8333
SPY,xgb,6.762,60.5601,7.782,0.0103,-0.6904,0.3427,0.8333
VNQ,Top3Ensamble,0.5982,0.5853,0.7651,0.0065,0.0843,0.0964,0.3333
VNQ,lgbm,0.661,0.6336,0.796,0.0072,0.0088,0.0614,0.3333
VNQ,rf,0.5448,0.5621,0.7497,0.0059,0.1206,0.1209,0.3333
VNQ,xgb,0.6058,0.6063,0.7786,0.0066,0.0515,0.0587,0.3333
WALMEX.MX,Top3Ensamble,0.6264,0.535,0.7314,0.0111,-0.921,-0.9006,0.3333
WALMEX.MX,arima,0.5424,0.5067,0.7119,0.0096,-0.8196,-0.7772,0.3333
WALMEX.MX,linreg,0.7792,0.7503,0.8662,0.0138,-1.6942,-1.4761,0.3333
WALMEX.MX,rf,0.5681,0.4649,0.6818,0.0101,-0.6693,-0.6414,0.3333
