ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.7434,1.4858,1.2189,0.0135,-1.7386,-1.5347,0.6667
BIMBOA.MX,arima,0.9107,1.8277,1.3519,0.0166,-2.3689,-2.016,0.6667
BIMBOA.MX,lgbm,0.6996,1.3025,1.1413,0.0128,-1.4008,-1.2875,0.6667
BIMBOA.MX,xgb,0.7281,1.5791,1.2566,0.0133,-1.9106,-1.7307,0.6667
CEMEXCPO.MX,Top3Ensamble,0.2977,0.128,0.3578,0.0187,-0.4974,-0.1502,0.3333
CEMEXCPO.MX,arima,0.2223,0.0854,0.2922,0.014,0.0014,0.0179,0.3333
CEMEXCPO.MX,lgbm,0.2668,0.1043,0.3229,0.0168,-0.2196,-0.1744,0.3333
CEMEXCPO.MX,linreg,0.4706,0.3129,0.5593,0.0295,-2.6597,-0.6251,0.3333
EEM,Top3Ensamble,0.3165,0.1418,0.3766,0.0064,0.5564,0.5967,0.3333
EEM,arima,0.3195,0.1388,0.3726,0.0065,0.5658,0.5659,0.3333
EEM,lgbm,0.3484,0.1798,0.424,0.0071,0.4379,0.6032,0.3333
EEM,rf,0.3215,0.1453,0.3812,0.0065,0.5456,0.5823,0.3333
GFNORTEO.MX,Top3Ensamble,1.4911,3.1626,1.7784,0.0089,-0.1541,-0.0882,0.8333
GFNORTEO.MX,arima,1.5322,3.5025,1.8715,0.0092,-0.2781,-0.2778,0.8333
GFNORTEO.MX,lgbm,1.5617,3.3965,1.843,0.0093,-0.2394,0.0675,0.8333
GFNORTEO.MX,lstm,1.7569,3.0867,1.7569,0.0105,,1.0,0.5
GLD,Top3Ensamble,2.299,9.7578,3.1237,0.0075,0.1076,0.1629,0.8333
GLD,arima,2.2011,8.2518,2.8726,0.0072,0.2454,0.282,0.8333
GLD,lgbm,2.534,12.0071,3.4651,0.0082,-0.0981,-0.0204,0.8333
IEF,Top3Ensamble,0.2402,0.1006,0.3171,0.0025,0.3596,0.3934,0.3333
IEF,lgbm,0.2408,0.1015,0.3186,0.0025,0.3536,0.413,0.3333
IEF,rf,0.2269,0.0971,0.3115,0.0024,0.382,0.3948,0.3333
IEF,xgb,0.266,0.1147,0.3387,0.0028,0.2695,0.3075,0.3333
QQQ,Top3Ensamble,3.9982,28.6889,5.3562,0.007,0.4439,0.5647,0.8333
QQQ,arima,3.7762,26.182,5.1168,0.0067,0.4925,0.5087,0.8333
QQQ,lgbm,4.504,34.6792,5.8889,0.0079,0.3278,0.5368,0.8333
QQQ,xgb,4.5941,33.2193,5.7636,0.0081,0.3561,0.5663,0.8333
SPY,Top3Ensamble,3.406,24.2869,4.9282,0.0054,0.3142,0.3613,0.8333
SPY,arima,3.4538,21.2867,4.6138,0.0055,0.3989,0.4055,0.8333
SPY,lgbm,3.4022,24.3116,4.9307,0.0054,0.3135,0.3422,0.8333
SPY,xgb,3.9727,29.8767,5.466,0.0063,0.1563,0.3168,0.8333
VNQ,Top3Ensamble,0.7521,0.7322,0.8557,0.0084,0.1448,0.1899,0.3333
VNQ,lgbm,0.7508,0.7565,0.8697,0.0083,0.1165,0.1232,0.3333
VNQ,rf,0.7592,0.7756,0.8807,0.0085,0.0942,0.173,0.3333
VNQ,xgb,0.7698,0.7666,0.8755,0.0086,0.1047,0.1802,0.3333
WALMEX.MX,Top3Ensamble,0.744,1.1967,1.0939,0.0133,-0.1581,-0.1576,0.6667
WALMEX.MX,arima,0.7633,1.2762,1.1297,0.0136,-0.2351,-0.2008,0.6667
WALMEX.MX,linreg,0.8782,1.5611,1.2494,0.0156,-0.5108,-0.4702,0.6667
WALMEX.MX,rf,0.7126,1.1473,1.0711,0.0127,-0.1103,-0.108,0.6667
