ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,1.107,1.7257,1.3137,0.0182,0.4321,0.4844,0.8333
BIMBOA.MX,arima,0.71,0.5609,0.749,0.012,-1.0154,-0.9902,0.3333
BIMBOA.MX,lgbm,1.152,1.9771,1.4061,0.019,0.3493,0.4426,0.8333
BIMBOA.MX,rf,1.3197,2.2159,1.4886,0.0216,0.4372,0.5222,0.8333
BIMBOA.MX,xgb,0.6816,0.563,0.7504,0.0115,-1.023,-1.0089,0.3333
CEMEXCPO.MX,Top3Ensamble,0.3456,0.219,0.4679,0.016,0.3034,0.3418,0.3333
CEMEXCPO.MX,arima,0.3319,0.1994,0.4466,0.0154,0.3655,0.3664,0.3333
CEMEXCPO.MX,rf,0.3732,0.2409,0.4909,0.0173,0.2335,0.3453,0.3333
CEMEXCPO.MX,xgb,0.4803,0.367,0.6058,0.0221,-0.2691,-0.0895,0.3333
EEM,Top3Ensamble,0.3722,0.2243,0.4736,0.0066,0.8947,0.8966,0.0
EEM,arima,0.1961,0.0425,0.2061,0.0036,0.4871,0.5549,0.3333
EEM,rf,0.5508,0.3997,0.6322,0.0098,0.8123,0.825,0.0
EEM,xgb,0.5632,0.3796,0.6161,0.0098,-0.8482,0.0964,0.3333
GFNORTEO.MX,Top3Ensamble,1.9679,7.7325,2.7807,0.0114,0.4205,0.4417,0.8333
GFNORTEO.MX,lgbm,2.2784,9.3971,3.0655,0.0131,0.4517,0.4765,0.8333
GFNORTEO.MX,rf,1.8723,8.3228,2.8849,0.0108,0.3762,0.4065,0.8333
GFNORTEO.MX,xgb,1.7413,4.1865,2.0461,0.0103,-0.1284,-0.1262,0.8333
GLD,Top3Ensamble,5.777,55.0683,7.4208,0.0141,0.288,0.3421,0.8333
GLD,arima,5.0165,45.1857,6.722,0.0123,0.4158,0.4245,0.8333
GLD,lgbm,4.1717,30.3425,5.5084,0.01,0.2143,0.3348,0.8333
GLD,rf,7.5286,89.4259,9.4565,0.0183,-0.1562,0.0283,0.8333
GLD,xgb,6.8099,75.1149,8.6669,0.0168,-0.5761,-0.5683,0.8333
IEF,Top3Ensamble,0.2242,0.0753,0.2744,0.0023,-2.7802,-2.0716,0.3333
IEF,arima,0.1661,0.0362,0.1903,0.0017,-0.0944,-0.0141,0.3333
IEF,lgbm,0.2168,0.0713,0.267,0.0023,-1.1555,-1.0639,0.3333
IEF,linreg,0.4288,0.262,0.5119,0.0045,-22.9606,-6.9768,0.3333
IEF,rf,0.1634,0.0368,0.1919,0.0017,-0.8497,-0.8335,0.3333
IEF,xgb,0.2633,0.0952,0.3085,0.0027,-7.7039,-5.814,0.3333
QQQ,Top3Ensamble,2.8591,12.9147,3.5937,0.0046,-0.1076,-0.0945,0.8333
QQQ,lgbm,2.822,13.4185,3.6631,0.0045,-0.1508,-0.1172,0.8333
QQQ,rf,3.3238,16.3775,4.0469,0.0053,-0.4046,-0.2699,0.8333
QQQ,xgb,2.1605,5.8523,2.4192,0.0035,0.3495,0.3872,0.8333
SPY,Top3Ensamble,2.6257,9.5411,3.0889,0.0038,0.2007,0.2579,0.8333
SPY,arima,3.03,13.0206,3.6084,0.0044,-0.8218,-0.5383,0.8333
SPY,lgbm,2.2713,7.6051,2.7577,0.0033,-0.3976,-0.3797,0.8333
SPY,rf,2.8581,11.2555,3.3549,0.0041,0.0571,0.26,0.8333
SPY,xgb,3.0856,12.8375,3.5829,0.0045,-0.7961,-0.4946,0.8333
VNQ,Top3Ensamble,0.4846,0.2954,0.5435,0.0054,0.6433,0.6912,0.3333
VNQ,arima,0.5355,0.3592,0.5993,0.006,0.5691,0.7122,0.1667
VNQ,lgbm,0.4237,0.2697,0.5193,0.0048,-0.7911,0.1846,0.3333
VNQ,rf,0.5144,0.368,0.6066,0.0058,0.5556,0.6966,0.3333
VNQ,xgb,0.4732,0.2354,0.4851,0.0053,-0.5629,-0.5432,0.3333
WALMEX.MX,Top3Ensamble,0.4819,0.4552,0.6747,0.0084,0.3664,0.385,0.3333
WALMEX.MX,arima,0.4942,0.5017,0.7083,0.0085,0.1953,0.294,0.3333
WALMEX.MX,lgbm,0.6054,0.5787,0.7607,0.0105,0.0718,0.2446,0.3333
WALMEX.MX,rf,0.4951,0.4709,0.6862,0.0086,0.3446,0.433,0.3333
WALMEX.MX,xgb,0.4251,0.4523,0.6725,0.0075,-0.9115,-0.2959,0.3333
