ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,1.0998,1.875,1.3693,0.017,0.6292,0.6296,0.8333
BIMBOA.MX,lgbm,1.0817,1.951,1.3968,0.0166,0.6142,0.6165,0.8333
BIMBOA.MX,rf,1.1261,1.8888,1.3743,0.0174,0.6265,0.6339,0.8333
CEMEXCPO.MX,Top3Ensamble,0.4159,0.2469,0.4969,0.0196,-0.301,-0.2891,0.3333
CEMEXCPO.MX,arima,0.405,0.2602,0.5101,0.0191,-0.371,-0.2897,0.3333
CEMEXCPO.MX,rf,0.4284,0.2422,0.4921,0.0201,-0.2763,-0.2732,0.3333
CEMEXCPO.MX,xgb,0.4179,0.2542,0.5042,0.0197,-0.3396,-0.3301,0.3333
EEM,Top3Ensamble,0.7459,1.0977,1.0477,0.0123,0.409,0.4123,0.6667
EEM,rf,0.6996,1.0281,1.014,0.0116,0.4465,0.4723,0.6667
EEM,xgb,0.8099,1.333,1.1545,0.0133,0.2823,0.2845,0.6667
GFNORTEO.MX,Top3Ensamble,3.3883,23.3403,4.8312,0.017,-0.4151,-0.2161,0.8333
GFNORTEO.MX,lgbm,1.98,6.6606,2.5808,0.01,0.5962,0.5963,0.8333
GFNORTEO.MX,rf,5.3213,61.274,7.8278,0.0267,-2.715,-1.9385,0.8333
GLD,Top3Ensamble,9.1012,111.3906,10.5542,0.0194,0.0025,0.0624,0.8333
GLD,arima,8.3133,104.0335,10.1997,0.0178,0.0684,0.0764,0.8333
GLD,lgbm,7.8639,100.9146,10.0456,0.0168,0.0963,0.1233,0.8333
GLD,rf,11.2103,151.497,12.3084,0.0239,-0.3566,-0.1255,0.8333
IEF,Top3Ensamble,0.2866,0.1446,0.3802,0.0029,-0.4502,-0.1902,0.3333
IEF,linreg,0.3954,0.2177,0.4666,0.0041,-1.1838,-0.2166,0.3333
IEF,rf,0.3008,0.1581,0.3976,0.0031,-0.5859,-0.4704,0.3333
IEF,xgb,0.245,0.1036,0.3218,0.0025,-0.0388,0.0038,0.3333
QQQ,Top3Ensamble,5.8817,46.8315,6.8434,0.0097,-1.3911,-1.3902,0.8333
QQQ,lgbm,6.3317,51.2031,7.1556,0.0104,-1.6143,-1.6136,0.8333
QQQ,rf,5.8452,45.467,6.7429,0.0096,-1.3215,-1.3202,0.8333
SPY,Top3Ensamble,4.1432,25.4488,5.0447,0.006,-1.0325,-1.0228,0.8333
SPY,lgbm,4.3981,28.9087,5.3767,0.0064,-1.3089,-1.2948,0.8333
SPY,rf,4.0051,23.6722,4.8654,0.0058,-0.8906,-0.8845,0.8333
VNQ,Top3Ensamble,0.4241,0.3334,0.5774,0.0045,0.324,0.3435,0.3333
VNQ,arima,0.4402,0.3503,0.5919,0.0046,0.2898,0.3156,0.3333
VNQ,rf,0.4116,0.3184,0.5643,0.0043,0.3546,0.3686,0.3333
WALMEX.MX,Top3Ensamble,0.5469,0.4698,0.6854,0.0095,0.5251,0.5258,0.3333
WALMEX.MX,arima,0.5621,0.5251,0.7246,0.0098,0.4692,0.4894,0.3333
WALMEX.MX,lgbm,0.5818,0.4799,0.6927,0.0101,0.5149,0.5218,0.3333
WALMEX.MX,rf,0.5611,0.4799,0.6927,0.0098,0.5149,0.5154,0.3333
