ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
AAPL,_NaiveModel,high_vol_regime,high_vol_regime,8.9717,135.2778,11.6309,0.0282,0.0069,0.1179,0.8333,5,5,False
AAPL,_NaiveModel,high_vol_regime,normal_vol_regime,1.7433,3.7037,1.9245,0.0054,0.9766,0.9819,0.5,5,5,False
AMD,_NaiveModel,high_vol_regime,high_vol_regime,23.6757,784.944,28.0169,0.0483,0.3204,0.3293,0.8333,5,4,True
AMD,_NaiveModel,high_vol_regime,normal_vol_regime,0.08,0.0064,0.08,0.0002,,1.0,0.0,5,4,True
AMZN,_NaiveModel,high_vol_regime,high_vol_regime,10.2014,223.7291,14.9576,0.0398,0.4392,0.4729,0.8333,5,5,False
AMZN,_NaiveModel,high_vol_regime,normal_vol_regime,1.56,3.1261,1.7681,0.0061,0.99,0.9932,0.5,5,5,False
ASML,_NaiveModel,high_vol_regime,high_vol_regime,52.0236,3445.0246,58.6943,0.031,0.5384,0.5406,0.8333,5,5,False
ASML,_NaiveModel,high_vol_regime,normal_vol_regime,3.205,18.1038,4.2549,0.0018,0.9885,0.9924,0.5,5,5,False
AVGO,_NaiveModel,high_vol_regime,high_vol_regime,11.0033,158.0048,12.57,0.0281,0.4809,0.4871,0.8333,5,5,False
AVGO,_NaiveModel,high_vol_regime,normal_vol_regime,1.5383,2.9152,1.7074,0.0039,0.9904,0.9923,0.5,5,5,False
BRK-B,_NaiveModel,high_vol_regime,high_vol_regime,9.5233,107.3261,10.3598,0.0183,-1.0833,0.6772,0.8333,5,5,False
BRK-B,_NaiveModel,high_vol_regime,normal_vol_regime,2.1375,5.7408,2.396,0.0042,0.9501,0.9504,0.5,5,5,False
CAT,_NaiveModel,high_vol_regime,high_vol_regime,26.7157,920.812,30.3449,0.0323,0.2042,0.3251,0.8333,5,5,False
CAT,_NaiveModel,high_vol_regime,normal_vol_regime,3.8012,18.7047,4.3249,0.0044,0.9728,0.9733,0.5,5,5,False
COST,_NaiveModel,high_vol_regime,high_vol_regime,15.92,260.9689,16.1545,0.0166,-6.2929,-5.2902,0.8333,5,5,False
COST,_NaiveModel,high_vol_regime,normal_vol_regime,4.4064,27.4465,5.2389,0.0047,0.8666,0.8696,0.5,5,5,False
CRM,_NaiveModel,high_vol_regime,high_vol_regime,6.3893,43.7581,6.615,0.0355,0.758,0.7668,0.5,5,5,False
CRM,_NaiveModel,high_vol_regime,normal_vol_regime,1.99,3.9601,1.99,0.0103,,1.0,0.5,5,5,False
GOOGL,_NaiveModel,high_vol_regime,high_vol_regime,11.33,187.5594,13.6952,0.0333,0.1583,0.1804,0.8333,5,5,False
GOOGL,_NaiveModel,high_vol_regime,normal_vol_regime,2.5786,7.5628,2.7501,0.0075,0.9481,0.9505,0.5,5,5,False
JNJ,_NaiveModel,high_vol_regime,high_vol_regime,5.625,37.4477,6.1195,0.0218,-2.743,-2.6838,0.8333,5,5,False
JNJ,_NaiveModel,high_vol_regime,normal_vol_regime,1.6273,3.2434,1.8009,0.0063,0.8482,0.8935,0.5,5,5,False
JPM,_NaiveModel,high_vol_regime,high_vol_regime,8.3667,78.9699,8.8865,0.0242,-9.2183,-9.2182,0.8333,5,5,False
JPM,_NaiveModel,high_vol_regime,normal_vol_regime,1.9592,4.6958,2.167,0.0055,0.7735,0.8297,0.5,5,5,False
