ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
NVDA,_NaiveModel,high_vol_regime,high_vol_regime,5.238,34.8477,5.9032,0.0256,0.1581,0.1963,0.8333,5,5,False
NVDA,_NaiveModel,high_vol_regime,normal_vol_regime,0.846,1.2845,1.1334,0.0042,0.3671,0.5963,0.6667,5,5,False
ORCL,_NaiveModel,high_vol_regime,high_vol_regime,5.9379,44.1865,6.6473,0.0342,0.2007,0.2583,0.8333,5,4,True
ORCL,_NaiveModel,high_vol_regime,normal_vol_regime,0.32,0.1024,0.32,0.0019,,1.0,0.0,5,4,True
PG,_NaiveModel,high_vol_regime,high_vol_regime,2.9014,8.8035,2.9671,0.02,-1.4155,-1.3929,0.8333,5,4,True
PG,_NaiveModel,high_vol_regime,normal_vol_regime,0.5487,0.3826,0.6186,0.0038,0.933,0.9423,0.0,5,4,True
PLTR,_NaiveModel,high_vol_regime,high_vol_regime,4.7956,30.5141,5.524,0.0335,-0.3802,-0.315,0.8333,5,4,True
PLTR,_NaiveModel,high_vol_regime,normal_vol_regime,0.6433,0.7064,0.8405,0.0045,0.8666,0.9095,0.0,5,4,True
TSLA,_NaiveModel,high_vol_regime,high_vol_regime,12.1575,187.7099,13.7007,0.0315,-0.5721,-0.3491,0.8333,5,5,False
TSLA,_NaiveModel,high_vol_regime,normal_vol_regime,2.3786,6.1445,2.4788,0.0063,0.8779,0.8784,0.5,5,5,False
TSM,_NaiveModel,high_vol_regime,high_vol_regime,10.5389,142.9164,11.9548,0.0275,0.0106,0.0395,0.8333,5,5,False
TSM,_NaiveModel,high_vol_regime,normal_vol_regime,2.2717,5.8408,2.4168,0.0057,0.9596,0.9953,0.5,5,5,False
UNH,_NaiveModel,high_vol_regime,high_vol_regime,12.5875,194.4149,13.9433,0.0362,0.1661,0.8457,0.6667,5,4,True
UNH,_NaiveModel,high_vol_regime,normal_vol_regime,1.3055,2.9222,1.7094,0.0037,0.9946,0.9955,0.5,5,4,True
V,_NaiveModel,high_vol_regime,high_vol_regime,9.78,178.7814,13.3709,0.0297,-0.7538,-0.4814,0.8333,5,5,False
V,_NaiveModel,high_vol_regime,normal_vol_regime,1.4236,2.7741,1.6656,0.0045,0.9351,0.9377,0.5,5,5,False
WMT,_NaiveModel,high_vol_regime,high_vol_regime,2.4617,6.5758,2.5643,0.019,-0.9998,-0.7067,0.8333,5,4,True
WMT,_NaiveModel,high_vol_regime,normal_vol_regime,0.4056,0.2819,0.5309,0.0032,0.9506,0.9507,0.0,5,4,True
XOM,_NaiveModel,high_vol_regime,high_vol_regime,3.678,14.7163,3.8362,0.0245,-0.9557,-0.9543,0.8333,5,5,False
XOM,_NaiveModel,high_vol_regime,normal_vol_regime,0.952,1.1052,1.0513,0.0063,0.7919,0.7924,0.3333,5,5,False
AAPL,_NaiveModel,risk_regime,risk_off,2.85,12.2027,3.4932,0.0106,0.5735,0.8574,0.6667,5,5,False
AAPL,_NaiveModel,risk_regime,risk_on,4.6975,31.212,5.5868,0.0172,-1.3505,0.3113,0.8333,5,5,False
AMD,_NaiveModel,risk_regime,risk_off,11.76,169.2406,13.0093,0.0357,0.7502,0.9543,0.5,5,5,False
AMD,_NaiveModel,risk_regime,risk_on,12.8864,297.6032,17.2512,0.0408,0.7807,0.9031,0.5,5,5,False
AMZN,_NaiveModel,risk_regime,risk_off,1.474,3.1601,1.7777,0.0058,0.8917,0.9662,0.5,5,5,False
AMZN,_NaiveModel,risk_regime,risk_on,3.953,23.7124,4.8695,0.0153,0.6545,0.8822,0.6667,5,5,False
ASML,_NaiveModel,risk_regime,risk_off,32.4544,1368.5181,36.9935,0.0229,-0.5131,0.6515,0.8333,5,5,False
ASML,_NaiveModel,risk_regime,risk_on,29.6833,1117.3523,33.4268,0.0204,0.2045,0.8318,0.6667,5,5,False
AVGO,_NaiveModel,risk_regime,risk_off,7.466,87.2384,9.3402,0.0184,-0.0488,0.6213,0.8333,5,5,False
AVGO,_NaiveModel,risk_regime,risk_on,7.408,94.7093,9.7319,0.018,0.4416,0.7652,0.6667,5,5,False
BRK-B,_NaiveModel,risk_regime,risk_off,2.4264,7.3465,2.7104,0.0051,0.387,0.8782,0.6667,4,4,False
BRK-B,_NaiveModel,risk_regime,risk_on,3.755,17.0965,4.1348,0.0079,-1.1521,0.6228,0.8333,4,4,False
CAT,_NaiveModel,risk_regime,risk_off,9.2286,143.7075,11.9878,0.0114,0.896,0.9576,0.5,5,5,False
CAT,_NaiveModel,risk_regime,risk_on,18.4563,961.2817,31.0045,0.0217,0.158,0.4563,0.8333,5,5,False
COST,_NaiveModel,risk_regime,risk_off,4.7743,36.0627,6.0052,0.0048,0.7324,0.9016,0.5,5,5,False
COST,_NaiveModel,risk_regime,risk_on,8.17,89.7446,9.4734,0.0081,0.2618,0.8108,0.6667,5,5,False
CRM,_NaiveModel,risk_regime,risk_off,5.7,74.1341,8.6101,0.0328,-4.2818,-1.967,0.8333,5,5,False
CRM,_NaiveModel,risk_regime,risk_on,3.2236,14.8557,3.8543,0.0177,-0.1048,0.668,0.8333,5,5,False
GOOGL,_NaiveModel,risk_regime,risk_off,2.32,8.6877,2.9475,0.0068,0.9713,0.9891,0.5,5,5,False
GOOGL,_NaiveModel,risk_regime,risk_on,8.4289,168.3801,12.9761,0.0234,0.5156,0.72,0.6667,5,5,False
JNJ,_NaiveModel,risk_regime,risk_off,2.3091,7.5212,2.7425,0.0101,0.6139,0.8876,0.6667,5,5,False
JNJ,_NaiveModel,risk_regime,risk_on,2.91,9.3836,3.0633,0.0126,0.5817,0.9592,0.6667,5,5,False
JPM,_NaiveModel,risk_regime,risk_off,2.7156,10.1655,3.1883,0.0088,-0.9531,0.4637,0.8333,5,5,False
JPM,_NaiveModel,risk_regime,risk_on,3.0683,14.7049,3.8347,0.0098,-1.6652,0.0412,0.8333,5,5,False
LLY,_NaiveModel,risk_regime,risk_off,13.9522,289.6666,17.0196,0.0157,0.4616,0.8234,0.6667,5,5,False
