ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
AAPL,Top3Ensamble,high_vol_regime,high_vol_regime,5.9673,44.2468,6.6518,0.0236,-6.1079,-4.7202,0.8333,5,5,False
AAPL,Top3Ensamble,high_vol_regime,normal_vol_regime,1.4363,2.2124,1.4874,0.0057,0.735,0.7927,0.5,5,5,False
AAPL,_NaiveModel,high_vol_regime,high_vol_regime,7.1033,50.5811,7.112,0.0265,-13.689,-11.8496,0.8333,5,5,False
AAPL,_NaiveModel,high_vol_regime,normal_vol_regime,1.3771,3.1969,1.788,0.0052,0.8953,0.8954,0.5,5,5,False
AAPL,arima,high_vol_regime,high_vol_regime,5.625,35.351,5.9457,0.0223,-4.6789,-4.0828,0.8333,5,5,False
AAPL,arima,high_vol_regime,normal_vol_regime,1.2704,1.8272,1.3517,0.0051,0.7811,0.782,0.5,5,5,False
AAPL,lgbm,high_vol_regime,high_vol_regime,5.8767,47.4575,6.8889,0.0232,-6.6237,-4.5478,0.8333,5,5,False
AAPL,lgbm,high_vol_regime,normal_vol_regime,2.4603,7.6857,2.7723,0.0098,0.0794,0.5624,0.8333,5,5,False
AAPL,linreg,high_vol_regime,high_vol_regime,9.0323,125.7328,11.2131,0.0357,-19.198,-6.0924,0.8333,5,5,False
AAPL,linreg,high_vol_regime,normal_vol_regime,6.8231,48.0132,6.9292,0.0272,-4.7508,0.8253,0.6667,5,5,False
AAPL,rf,high_vol_regime,high_vol_regime,6.2403,50.3693,7.0971,0.0247,-7.0915,-5.2556,0.8333,5,5,False
AAPL,rf,high_vol_regime,normal_vol_regime,1.0101,1.1973,1.0942,0.004,0.8566,0.857,0.5,5,5,False
AAPL,xgb,high_vol_regime,high_vol_regime,5.7849,36.8582,6.0711,0.0229,-4.921,-4.376,0.8333,5,4,True
AAPL,xgb,high_vol_regime,normal_vol_regime,0.8385,0.9596,0.9796,0.0034,0.8851,0.8851,0.0,5,4,True
AMD,Top3Ensamble,high_vol_regime,high_vol_regime,11.4749,161.4753,12.7073,0.0553,-1.0547,-1.0369,1.0,5,5,False
AMD,Top3Ensamble,high_vol_regime,normal_vol_regime,4.2848,18.3598,4.2848,0.0212,,1.0,0.5,5,5,False
AMD,_NaiveModel,high_vol_regime,high_vol_regime,10.065,122.3669,11.062,0.0397,0.8426,0.9729,0.5,5,5,False
AMD,_NaiveModel,high_vol_regime,normal_vol_regime,2.1025,6.0893,2.4676,0.008,0.9628,0.9637,0.5,5,5,False
AMD,arima,high_vol_regime,high_vol_regime,11.185,146.456,12.1019,0.0539,-0.8636,-0.8586,1.0,5,5,False
AMD,arima,high_vol_regime,normal_vol_regime,2.3636,5.5867,2.3636,0.0117,,1.0,0.5,5,5,False
AMD,lgbm,high_vol_regime,high_vol_regime,11.4105,166.4803,12.9027,0.0547,-1.1184,-1.1166,1.0,5,5,False
AMD,lgbm,high_vol_regime,normal_vol_regime,5.603,31.3937,5.603,0.0277,,1.0,0.5,5,5,False
AMD,linreg,high_vol_regime,high_vol_regime,12.7742,201.8799,14.2084,0.0622,-1.5688,-1.2348,1.0,5,5,False
AMD,linreg,high_vol_regime,normal_vol_regime,15.0189,225.5672,15.0189,0.0744,,1.0,0.6667,5,5,False
AMD,rf,high_vol_regime,high_vol_regime,11.8292,181.2995,13.4647,0.0572,-1.307,-1.1685,1.0,5,5,False
AMD,rf,high_vol_regime,normal_vol_regime,4.8879,23.8913,4.8879,0.0242,,1.0,0.5,5,5,False
AMD,xgb,high_vol_regime,high_vol_regime,22.3273,590.9282,24.309,0.1095,-6.5193,-3.6991,1.0,5,5,False
AMD,xgb,high_vol_regime,normal_vol_regime,21.3866,457.3852,21.3866,0.1059,,1.0,0.6667,5,5,False
AMZN,Top3Ensamble,high_vol_regime,high_vol_regime,5.7201,37.4254,6.1176,0.0278,-0.8159,-0.7868,0.8333,5,5,False
AMZN,Top3Ensamble,high_vol_regime,normal_vol_regime,2.7251,7.4261,2.7251,0.0136,,1.0,0.5,5,5,False
AMZN,_NaiveModel,high_vol_regime,high_vol_regime,6.93,52.865,7.2708,0.0283,-0.8679,0.829,0.6667,5,5,False
AMZN,_NaiveModel,high_vol_regime,normal_vol_regime,1.3875,2.3144,1.5213,0.0059,0.9916,0.9925,0.5,5,5,False
AMZN,arima,high_vol_regime,high_vol_regime,6.04,39.5581,6.2895,0.0293,-0.9194,-0.9179,0.8333,5,5,False
AMZN,arima,high_vol_regime,normal_vol_regime,1.9312,3.7297,1.9312,0.0096,,1.0,0.5,5,5,False
AMZN,lgbm,high_vol_regime,high_vol_regime,5.8166,36.8948,6.0741,0.0283,-0.7902,-0.7863,0.8333,5,4,True
AMZN,lgbm,high_vol_regime,normal_vol_regime,0.7609,0.579,0.7609,0.0038,,1.0,0.0,5,4,True
AMZN,linreg,high_vol_regime,high_vol_regime,5.0533,34.2129,5.8492,0.0244,-0.66,-0.3162,0.8333,5,5,False
AMZN,linreg,high_vol_regime,normal_vol_regime,3.2466,10.5401,3.2466,0.0162,,1.0,0.5,5,5,False
AMZN,rf,high_vol_regime,high_vol_regime,5.6671,36.0968,6.0081,0.0275,-0.7514,-0.7484,0.8333,5,5,False
AMZN,rf,high_vol_regime,normal_vol_regime,2.03,4.1207,2.03,0.0101,,1.0,0.5,5,5,False
AMZN,xgb,high_vol_regime,high_vol_regime,5.6766,41.1026,6.4111,0.0275,-0.9943,-0.8389,0.8333,5,5,False
AMZN,xgb,high_vol_regime,normal_vol_regime,5.3844,28.9916,5.3844,0.0268,,1.0,0.5,5,5,False
ASML,Top3Ensamble,high_vol_regime,high_vol_regime,54.2434,3110.3015,55.7701,0.0416,-2.6394,-2.0335,0.8333,5,5,False
ASML,Top3Ensamble,high_vol_regime,normal_vol_regime,6.0899,37.0873,6.0899,0.0044,,1.0,0.5,5,5,False
ASML,_NaiveModel,high_vol_regime,high_vol_regime,41.3515,1921.1959,43.8314,0.0292,0.5338,0.5343,0.8333,5,5,False
ASML,_NaiveModel,high_vol_regime,normal_vol_regime,17.4434,304.6013,17.4528,0.0117,0.5082,0.5617,0.8333,5,5,False
ASML,arima,high_vol_regime,high_vol_regime,52.5228,2988.2003,54.6644,0.0403,-2.4965,-2.0326,0.8333,5,5,False
ASML,arima,high_vol_regime,normal_vol_regime,7.1756,51.4897,7.1756,0.0051,,1.0,0.5,5,5,False
ASML,lgbm,high_vol_regime,high_vol_regime,56.2779,3334.585,57.7459,0.0432,-2.9018,-2.0183,0.8333,5,5,False
ASML,lgbm,high_vol_regime,normal_vol_regime,2.9548,8.7306,2.9548,0.0021,,1.0,0.5,5,5,False
