ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
AAPL,_NaiveModel,high_vol_regime,high_vol_regime,7.4,61.5323,7.8443,0.0228,-0.5197,-0.1037,0.8333,5,5,False
AAPL,_NaiveModel,high_vol_regime,normal_vol_regime,1.333,2.6767,1.6361,0.0041,0.9654,0.9656,0.5,5,5,False
AMD,_NaiveModel,high_vol_regime,high_vol_regime,14.8909,253.1524,15.9108,0.0305,0.4671,0.4808,0.8333,5,5,False
AMD,_NaiveModel,high_vol_regime,normal_vol_regime,2.365,7.1306,2.6703,0.005,0.9432,0.9609,0.5,5,5,False
AMZN,_NaiveModel,high_vol_regime,high_vol_regime,4.5233,21.4164,4.6278,0.0177,-0.4,-0.1879,0.8333,5,5,False
AMZN,_NaiveModel,high_vol_regime,normal_vol_regime,0.8683,1.3493,1.1616,0.0034,0.9516,0.9774,0.3333,5,5,False
ASML,_NaiveModel,high_vol_regime,high_vol_regime,45.0025,3214.9151,56.7002,0.0272,-0.2907,0.0203,0.8333,5,5,False
ASML,_NaiveModel,high_vol_regime,normal_vol_regime,10.1771,132.2953,11.502,0.0061,0.9636,0.9776,0.5,5,5,False
AVGO,_NaiveModel,high_vol_regime,high_vol_regime,10.4367,132.5554,11.5133,0.0293,-0.0928,0.1233,0.8333,5,5,False
AVGO,_NaiveModel,high_vol_regime,normal_vol_regime,1.5011,3.1942,1.7872,0.0041,0.9596,0.9655,0.5,5,5,False
BRK-B,_NaiveModel,high_vol_regime,high_vol_regime,8.5,72.25,8.5,0.0169,,1.0,0.5,5,5,False
BRK-B,_NaiveModel,high_vol_regime,normal_vol_regime,1.8814,5.1854,2.2771,0.0037,0.8055,0.845,0.5,5,5,False
CAT,_NaiveModel,high_vol_regime,high_vol_regime,14.9145,288.2721,16.9786,0.0187,-0.3932,-0.3323,0.8333,5,5,False
CAT,_NaiveModel,high_vol_regime,normal_vol_regime,3.5433,22.4879,4.7421,0.0044,0.8885,0.892,0.5,5,5,False
COST,_NaiveModel,high_vol_regime,high_vol_regime,15.6229,269.0934,16.4041,0.0167,0.4944,0.5381,0.8333,5,5,False
COST,_NaiveModel,high_vol_regime,normal_vol_regime,3.7837,20.4534,4.5225,0.0041,0.9573,0.9785,0.5,5,5,False
CRM,_NaiveModel,high_vol_regime,high_vol_regime,10.3089,274.9774,16.5824,0.041,-0.0278,0.0782,0.8333,5,4,True
CRM,_NaiveModel,high_vol_regime,normal_vol_regime,0.7717,0.9086,0.9532,0.0031,0.9982,0.9982,0.0,5,4,True
GOOGL,_NaiveModel,high_vol_regime,high_vol_regime,6.0911,41.4392,6.4373,0.0179,-0.5519,-0.5008,0.8333,5,5,False
GOOGL,_NaiveModel,high_vol_regime,normal_vol_regime,1.975,4.3658,2.0894,0.0058,0.8492,0.8564,0.5,5,5,False
JNJ,_NaiveModel,high_vol_regime,high_vol_regime,3.8583,15.5061,3.9378,0.0142,0.0977,0.1042,0.8333,5,5,False
JNJ,_NaiveModel,high_vol_regime,normal_vol_regime,1.1478,2.1402,1.463,0.0043,0.7242,0.7263,0.5,5,5,False
JPM,_NaiveModel,high_vol_regime,high_vol_regime,5.5833,31.484,5.6111,0.0157,-0.3262,-0.2293,0.8333,5,5,False
JPM,_NaiveModel,high_vol_regime,normal_vol_regime,1.7567,4.212,2.0523,0.005,0.2608,0.2974,0.8333,5,5,False
LLY,_NaiveModel,high_vol_regime,high_vol_regime,22.258,628.1736,25.0634,0.0189,0.4027,0.569,0.8333,5,5,False
LLY,_NaiveModel,high_vol_regime,normal_vol_regime,3.523,25.0005,5.0001,0.003,0.9801,0.9849,0.5,5,5,False
LMT,_NaiveModel,high_vol_regime,high_vol_regime,9.6687,106.3942,10.3148,0.018,0.5238,0.6838,0.8333,5,5,False
LMT,_NaiveModel,high_vol_regime,normal_vol_regime,2.56,9.5956,3.0977,0.0048,0.9589,0.973,0.5,5,5,False
MA,_NaiveModel,high_vol_regime,high_vol_regime,9.544,114.8872,10.7185,0.0162,-1.0555,-1.0389,0.8333,5,5,False
MA,_NaiveModel,high_vol_regime,normal_vol_regime,3.105,13.2602,3.6415,0.0054,0.9139,0.9248,0.5,5,5,False
MCD,_NaiveModel,high_vol_regime,high_vol_regime,4.3714,21.3085,4.6161,0.017,0.4239,0.6598,0.8333,5,5,False
MCD,_NaiveModel,high_vol_regime,normal_vol_regime,1.2438,2.1818,1.4771,0.0048,0.9507,0.9669,0.5,5,5,False
META,_NaiveModel,high_vol_regime,high_vol_regime,14.63,312.8081,17.6864,0.0236,0.7772,0.8896,0.5,5,5,False
META,_NaiveModel,high_vol_regime,normal_vol_regime,4.695,23.1717,4.8137,0.0076,0.987,0.9877,0.5,5,5,False
MRK,_NaiveModel,high_vol_regime,high_vol_regime,2.6544,8.9901,2.9984,0.0175,0.0576,0.0844,0.8333,5,4,True
MRK,_NaiveModel,high_vol_regime,normal_vol_regime,0.9183,0.8646,0.9299,0.0063,0.9038,0.9038,0.0,5,4,True
MSFT,_NaiveModel,high_vol_regime,high_vol_regime,8.7263,81.2647,9.0147,0.0174,-1.3065,-1.2891,0.8333,5,5,False
MSFT,_NaiveModel,high_vol_regime,normal_vol_regime,3.3729,13.053,3.6129,0.0068,-0.3258,-0.0924,0.8333,5,5,False
NEE,_NaiveModel,high_vol_regime,high_vol_regime,0.88,0.8547,0.9245,0.0106,-0.5254,-0.5099,0.3333,5,3,True
NEE,_NaiveModel,high_vol_regime,normal_vol_regime,0.4158,0.24,0.4899,0.005,0.8335,0.8597,0.0,5,3,True
NVDA,_NaiveModel,high_vol_regime,high_vol_regime,6.274,57.5353,7.5852,0.0286,-0.1687,-0.1418,0.8333,5,5,False
NVDA,_NaiveModel,high_vol_regime,normal_vol_regime,1.396,2.4707,1.5719,0.0063,0.9443,0.951,0.5,5,5,False
ORCL,_NaiveModel,high_vol_regime,high_vol_regime,4.6136,25.9146,5.0906,0.0312,0.0508,0.0556,0.8333,5,4,True
ORCL,_NaiveModel,high_vol_regime,normal_vol_regime,0.89,0.7921,0.89,0.0055,,1.0,0.0,5,4,True
PG,_NaiveModel,high_vol_regime,high_vol_regime,2.072,4.5751,2.1389,0.0144,-1.1415,-1.1307,0.8333,5,5,False
PG,_NaiveModel,high_vol_regime,normal_vol_regime,0.74,0.6844,0.8273,0.0051,0.5669,0.5874,0.3333,5,5,False
PLTR,_NaiveModel,high_vol_regime,high_vol_regime,6.835,55.9849,7.4823,0.0387,-0.7251,-0.721,0.8333,5,5,False
PLTR,_NaiveModel,high_vol_regime,normal_vol_regime,0.952,1.2418,1.1143,0.0056,0.9719,0.9746,0.3333,5,5,False
TSLA,_NaiveModel,high_vol_regime,high_vol_regime,12.3067,192.7566,13.8837,0.0342,-1.3915,-1.3539,0.8333,5,5,False
TSLA,_NaiveModel,high_vol_regime,normal_vol_regime,1.39,2.3592,1.536,0.0039,0.9313,0.9379,0.5,5,5,False
TSM,_NaiveModel,high_vol_regime,high_vol_regime,9.3429,96.8429,9.8409,0.0221,-0.6737,-0.6713,0.8333,5,5,False
TSM,_NaiveModel,high_vol_regime,normal_vol_regime,2.335,7.2936,2.7007,0.0056,0.833,0.8392,0.5,5,5,False
UNH,_NaiveModel,high_vol_regime,high_vol_regime,6.329,43.5674,6.6006,0.0163,0.3132,0.3462,0.8333,5,5,False
UNH,_NaiveModel,high_vol_regime,normal_vol_regime,2.256,6.5052,2.5505,0.0057,0.9274,0.9292,0.5,5,5,False
V,_NaiveModel,high_vol_regime,high_vol_regime,6.26,45.0503,6.7119,0.0166,-1.8249,-1.7558,0.8333,5,5,False
V,_NaiveModel,high_vol_regime,normal_vol_regime,1.4711,3.7663,1.9407,0.0039,0.8974,0.8986,0.5,5,5,False
WMT,_NaiveModel,high_vol_regime,high_vol_regime,1.8914,3.8122,1.9525,0.0177,0.0734,0.3348,0.8333,5,5,False
WMT,_NaiveModel,high_vol_regime,normal_vol_regime,0.6587,0.604,0.7772,0.0062,0.5058,0.6082,0.3333,5,5,False
XOM,_NaiveModel,high_vol_regime,high_vol_regime,3.394,12.9624,3.6003,0.0209,-0.0662,-0.0604,0.8333,5,5,False
XOM,_NaiveModel,high_vol_regime,normal_vol_regime,0.826,0.7379,0.859,0.005,-0.4111,-0.3827,0.3333,5,5,False
AAPL,_NaiveModel,risk_regime,risk_off,2.3867,13.3407,3.6525,0.0075,0.7205,0.8398,0.5,5,5,False
AAPL,_NaiveModel,risk_regime,risk_on,4.0011,28.2649,5.3165,0.0123,0.5986,0.826,0.6667,5,5,False
AMD,_NaiveModel,risk_regime,risk_off,10.7921,177.6793,13.3296,0.0225,0.4683,0.8168,0.6667,5,5,False
AMD,_NaiveModel,risk_regime,risk_on,12.2144,196.1805,14.0064,0.0247,0.4511,0.8685,0.6667,5,5,False
AMZN,_NaiveModel,risk_regime,risk_off,3.0555,13.6116,3.6894,0.012,0.3876,0.8076,0.6667,5,5,False
AMZN,_NaiveModel,risk_regime,risk_on,3.0775,12.7789,3.5748,0.0119,-0.8354,0.5249,0.8333,5,5,False
ASML,_NaiveModel,risk_regime,risk_off,37.745,2639.2491,51.3736,0.023,0.0231,0.5504,0.8333,5,5,False
