ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,1.0835,1.7935,1.3392,0.0177,0.3297,0.3475,0.8333
BIMBOA.MX,lgbm,1.2293,2.1968,1.4822,0.0201,0.179,0.1859,0.8333
BIMBOA.MX,rf,0.9893,1.5153,1.231,0.0162,0.4337,0.4673,0.6667
CEMEXCPO.MX,Top3Ensamble,0.3784,0.2499,0.4999,0.0173,0.0545,0.2022,0.3333
CEMEXCPO.MX,arima,0.353,0.212,0.4605,0.0161,0.1979,0.2279,0.3333
CEMEXCPO.MX,rf,0.4116,0.2779,0.5272,0.0188,-0.0512,0.242,0.3333
CEMEXCPO.MX,xgb,0.4187,0.2861,0.5349,0.0191,-0.0822,0.1098,0.3333
EEM,Top3Ensamble,0.4339,0.2733,0.5228,0.0075,0.415,0.52,0.3333
EEM,rf,0.5406,0.4066,0.6377,0.0094,0.1297,0.1392,0.3333
EEM,xgb,0.5944,0.4318,0.6571,0.0103,0.0758,0.6313,0.3333
GFNORTEO.MX,Top3Ensamble,2.125,8.6351,2.9385,0.0119,0.8256,0.8453,0.5
GFNORTEO.MX,lgbm,2.0781,7.741,2.7823,0.0117,0.8436,0.8572,0.5
GFNORTEO.MX,rf,2.1719,9.6831,3.1118,0.0122,0.8044,0.8315,0.5
GLD,Top3Ensamble,5.7882,46.3019,6.8046,0.0135,0.808,0.8968,0.5
GLD,arima,4.5956,27.3619,5.2309,0.0108,0.8865,0.9209,0.5
GLD,lgbm,5.7744,52.2184,7.2262,0.0134,0.7834,0.8442,0.5
GLD,rf,8.0575,86.1869,9.2837,0.019,0.6426,0.8562,0.6667
IEF,Top3Ensamble,0.2706,0.0961,0.3101,0.0028,-0.7906,-0.2158,0.3333
IEF,linreg,0.4385,0.2769,0.5262,0.0046,-4.1579,-0.7276,0.3333
IEF,rf,0.1729,0.0414,0.2034,0.0018,0.2297,0.2298,0.3333
IEF,xgb,0.2589,0.0945,0.3074,0.0027,-0.7607,-0.5752,0.3333
QQQ,Top3Ensamble,3.3994,17.8642,4.2266,0.0055,-0.7619,-0.4703,0.8333
QQQ,lgbm,3.3963,17.8706,4.2274,0.0055,-0.7625,-0.7247,0.8333
QQQ,rf,3.9171,21.9625,4.6864,0.0063,-1.1661,-0.3817,0.8333
SPY,Top3Ensamble,2.5682,11.2613,3.3558,0.0037,-0.6255,-0.2135,0.8333
SPY,lgbm,2.493,10.5608,3.2497,0.0036,-0.5244,-0.3689,0.8333
SPY,rf,2.9791,13.4039,3.6611,0.0043,-0.9348,-0.1435,0.8333
VNQ,Top3Ensamble,0.5763,0.4359,0.6602,0.0064,0.6619,0.7337,0.1667
VNQ,arima,0.5699,0.4216,0.6493,0.0063,0.673,0.7437,0.1667
VNQ,rf,0.5828,0.4678,0.684,0.0065,0.6372,0.71,0.1667
WALMEX.MX,Top3Ensamble,0.5566,0.4754,0.6895,0.0096,-0.1523,-0.0757,0.3333
WALMEX.MX,arima,0.5181,0.4533,0.6733,0.0089,-0.0988,-0.0885,0.3333
WALMEX.MX,lgbm,0.6023,0.531,0.7287,0.0104,-0.2871,-0.2317,0.3333
WALMEX.MX,rf,0.5656,0.5137,0.7167,0.0098,-0.245,-0.0015,0.3333
