ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,1.2227,1.8324,1.3537,0.0198,0.7972,0.8171,0.5
BIMBOA.MX,arima,1.1687,1.7557,1.325,0.0189,0.8057,0.8217,0.5
BIMBOA.MX,lgbm,1.2969,2.1133,1.4537,0.021,0.7661,0.7956,0.5
BIMBOA.MX,xgb,1.2196,1.8009,1.342,0.0197,0.8007,0.8163,0.5
CEMEXCPO.MX,Top3Ensamble,0.196,0.0541,0.2326,0.0104,-0.2664,-0.2592,0.3333
CEMEXCPO.MX,arima,0.1867,0.0451,0.2124,0.0099,-0.0561,0.0206,0.3333
CEMEXCPO.MX,rf,0.2258,0.0797,0.2823,0.0119,-0.8657,-0.8542,0.3333
EEM,Top3Ensamble,0.4248,0.3089,0.5558,0.0078,0.5623,0.6003,0.3333
EEM,arima,0.398,0.2653,0.5151,0.0073,0.6241,0.6363,0.3333
EEM,rf,0.4795,0.4099,0.6402,0.0088,0.4192,0.4973,0.3333
GFNORTEO.MX,Top3Ensamble,2.0258,7.634,2.763,0.0114,0.2353,0.2467,0.8333
GFNORTEO.MX,rf,1.9836,7.3906,2.7186,0.0111,0.2596,0.2648,0.8333
GFNORTEO.MX,xgb,2.072,7.9263,2.8154,0.0116,0.206,0.226,0.8333
GLD,Top3Ensamble,3.6322,23.2091,4.8176,0.0097,0.4512,0.5177,0.8333
GLD,arima,3.4127,20.1462,4.4884,0.0091,0.5236,0.5448,0.8333
GLD,rf,4.0138,27.08,5.2038,0.0107,0.3596,0.4767,0.8333
GLD,xgb,3.6686,24.7136,4.9713,0.0098,0.4156,0.4974,0.8333
IEF,Top3Ensamble,0.2135,0.0711,0.2667,0.0022,0.0923,0.1851,0.3333
IEF,arima,0.2145,0.0667,0.2582,0.0022,0.1488,0.1489,0.3333
IEF,lgbm,0.2515,0.1048,0.3238,0.0026,-0.3383,0.0615,0.3333
IEF,rf,0.2056,0.065,0.255,0.0021,0.1703,0.2455,0.3333
QQQ,Top3Ensamble,7.1654,78.091,8.8369,0.0118,0.5292,0.5399,0.8333
QQQ,lgbm,7.1194,78.9768,8.8869,0.0117,0.5238,0.5287,0.8333
QQQ,rf,7.1659,78.4747,8.8586,0.0118,0.5269,0.5427,0.8333
QQQ,xgb,7.2923,80.6436,8.9802,0.012,0.5138,0.5271,0.8333
SPY,Top3Ensamble,5.2299,43.9828,6.632,0.0078,0.4916,0.4965,0.8333
SPY,arima,5.2315,47.1672,6.8678,0.0078,0.4548,0.5071,0.8333
SPY,rf,5.396,44.5557,6.675,0.0081,0.485,0.485,0.8333
SPY,xgb,5.5121,44.925,6.7026,0.0082,0.4807,0.481,0.8333
VNQ,Top3Ensamble,0.5405,0.521,0.7218,0.006,0.098,0.1038,0.3333
VNQ,lgbm,0.5585,0.4945,0.7032,0.0062,0.144,0.1686,0.3333
VNQ,rf,0.5439,0.5483,0.7405,0.0061,0.0507,0.0533,0.3333
VNQ,xgb,0.5963,0.5709,0.7556,0.0067,0.0117,0.0266,0.3333
WALMEX.MX,Top3Ensamble,0.5742,0.5064,0.7116,0.0092,-0.3306,-0.0876,0.3333
WALMEX.MX,rf,0.5627,0.4787,0.6919,0.009,-0.2579,-0.066,0.3333
WALMEX.MX,xgb,0.6084,0.5601,0.7484,0.0098,-0.4717,-0.1717,0.3333
