ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,1.2506,2.0364,1.427,0.021,0.0847,0.1508,0.8333
BIMBOA.MX,arima,1.1451,1.8133,1.3466,0.0192,0.1849,0.2399,0.8333
BIMBOA.MX,lgbm,1.3432,2.3804,1.5429,0.0225,-0.07,0.0335,0.8333
BIMBOA.MX,xgb,1.2672,2.0196,1.4211,0.0213,0.0922,0.1385,0.8333
CEMEXCPO.MX,Top3Ensamble,0.2578,0.0928,0.3046,0.0135,0.4014,0.4288,0.3333
CEMEXCPO.MX,arima,0.2529,0.0838,0.2895,0.0133,0.4593,0.4593,0.3333
CEMEXCPO.MX,rf,0.2812,0.1137,0.3372,0.0147,0.2661,0.3757,0.3333
EEM,Top3Ensamble,0.3415,0.2024,0.4498,0.0063,0.5618,0.7785,0.1667
EEM,arima,0.2431,0.1254,0.3541,0.0045,0.7284,0.7414,0.0
EEM,rf,0.5552,0.4612,0.6791,0.0103,0.0011,0.6686,0.3333
GFNORTEO.MX,Top3Ensamble,2.4563,10.9939,3.3157,0.014,-2.8831,-2.7116,0.8333
GFNORTEO.MX,rf,3.2876,24.3712,4.9367,0.0187,-7.608,-7.0142,0.8333
GFNORTEO.MX,xgb,1.8608,6.1906,2.4881,0.0106,-1.1865,-1.1832,0.8333
GLD,Top3Ensamble,2.8716,16.3136,4.039,0.0075,0.4317,0.492,0.8333
GLD,arima,2.6251,11.9733,3.4602,0.0069,0.5829,0.5874,0.8333
GLD,rf,2.9793,18.6898,4.3232,0.0078,0.349,0.4264,0.8333
GLD,xgb,3.2682,21.149,4.5988,0.0085,0.2633,0.4164,0.8333
IEF,Top3Ensamble,0.2034,0.0786,0.2804,0.0021,0.4275,0.4402,0.3333
IEF,arima,0.2077,0.0833,0.2887,0.0021,0.3934,0.3941,0.3333
IEF,lgbm,0.2337,0.0927,0.3045,0.0024,0.3251,0.4038,0.3333
IEF,rf,0.1982,0.0776,0.2785,0.002,0.4353,0.4425,0.3333
QQQ,Top3Ensamble,6.3799,65.2979,8.0807,0.0106,0.5186,0.5236,0.8333
QQQ,lgbm,6.9377,73.8879,8.5958,0.0115,0.4553,0.4853,0.8333
QQQ,rf,5.9801,60.7607,7.7949,0.0099,0.5521,0.5521,0.8333
QQQ,xgb,6.3866,65.85,8.1148,0.0106,0.5145,0.516,0.8333
SPY,Top3Ensamble,4.9284,37.1279,6.0933,0.0074,0.6241,0.6241,0.8333
SPY,arima,4.7951,39.0232,6.2469,0.0072,0.6049,0.6245,0.8333
SPY,rf,5.1985,38.8802,6.2354,0.0078,0.6063,0.6154,0.8333
SPY,xgb,5.1121,37.2805,6.1058,0.0076,0.6225,0.6242,0.8333
VNQ,Top3Ensamble,0.6276,0.5785,0.7606,0.007,0.0806,0.1019,0.3333
VNQ,lgbm,0.6833,0.6474,0.8046,0.0076,-0.0288,0.0195,0.3333
VNQ,rf,0.5971,0.5375,0.7331,0.0067,0.1459,0.1655,0.3333
VNQ,xgb,0.637,0.6046,0.7775,0.0071,0.0392,0.0453,0.3333
WALMEX.MX,Top3Ensamble,0.5075,0.4232,0.6505,0.0083,-0.0452,0.0029,0.3333
WALMEX.MX,rf,0.5467,0.4372,0.6612,0.0089,-0.0798,-0.0789,0.3333
WALMEX.MX,xgb,0.5235,0.4532,0.6732,0.0085,-0.1192,0.0472,0.3333
