ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.8811,1.7077,1.3068,0.0139,0.3842,0.4232,0.6667
BIMBOA.MX,arima,1.0274,1.8599,1.3638,0.0162,0.3293,0.3477,0.8333
BIMBOA.MX,lgbm,0.8648,1.6514,1.2851,0.0136,0.4045,0.4579,0.6667
BIMBOA.MX,xgb,0.8747,1.788,1.3371,0.0138,0.3553,0.4061,0.6667
CEMEXCPO.MX,Top3Ensamble,0.3224,0.3089,0.5558,0.0178,0.4764,0.5063,0.3333
CEMEXCPO.MX,arima,0.3335,0.2957,0.5438,0.0185,0.4988,0.5093,0.3333
CEMEXCPO.MX,rf,0.3384,0.3343,0.5782,0.0187,0.4333,0.4922,0.3333
EEM,Top3Ensamble,0.4105,0.238,0.4878,0.0075,0.6471,0.6798,0.3333
EEM,arima,0.3956,0.2157,0.4645,0.0072,0.6801,0.7014,0.1667
EEM,rf,0.4329,0.2677,0.5174,0.0079,0.603,0.6496,0.3333
GFNORTEO.MX,Top3Ensamble,1.9263,5.646,2.3761,0.0111,-0.7782,-0.7435,0.8333
GFNORTEO.MX,rf,2.481,11.417,3.3789,0.0143,-2.5958,-2.3935,0.8333
GFNORTEO.MX,xgb,1.5659,4.0207,2.0052,0.009,-0.2663,-0.2604,0.8333
GLD,Top3Ensamble,5.9256,78.376,8.853,0.0155,0.4024,0.4024,0.8333
GLD,arima,6.2064,82.7971,9.0993,0.0163,0.3687,0.3732,0.8333
GLD,rf,5.8281,77.5025,8.8036,0.0152,0.4091,0.4091,0.8333
GLD,xgb,6.1369,77.2782,8.7908,0.0161,0.4108,0.4148,0.8333
IEF,Top3Ensamble,0.1966,0.057,0.2387,0.002,0.5417,0.5486,0.3333
IEF,arima,0.1962,0.0694,0.2634,0.002,0.4419,0.4653,0.3333
IEF,lgbm,0.2045,0.0626,0.2503,0.0021,0.4964,0.6206,0.3333
IEF,rf,0.1977,0.0603,0.2456,0.002,0.515,0.5173,0.3333
QQQ,Top3Ensamble,5.1636,33.1969,5.7617,0.0084,0.7968,0.8171,0.5
QQQ,lgbm,5.4838,36.8054,6.0667,0.0089,0.7747,0.7955,0.5
QQQ,rf,4.9831,31.1446,5.5807,0.0081,0.8094,0.8313,0.5
QQQ,xgb,5.2765,34.2021,5.8483,0.0085,0.7907,0.8089,0.5
SPY,Top3Ensamble,3.5114,18.9545,4.3537,0.0052,0.7661,0.7825,0.5
SPY,arima,3.2149,16.971,4.1196,0.0048,0.7905,0.7917,0.5
SPY,rf,3.7385,20.1405,4.4878,0.0055,0.7514,0.7837,0.5
SPY,xgb,3.9928,23.4973,4.8474,0.0059,0.71,0.7671,0.5
VNQ,Top3Ensamble,0.7289,0.9663,0.983,0.0081,0.4953,0.4983,0.3333
VNQ,lgbm,0.7625,1.024,1.012,0.0084,0.4651,0.4704,0.6667
VNQ,rf,0.673,0.8895,0.9431,0.0074,0.5354,0.536,0.3333
VNQ,xgb,0.8177,1.0894,1.0437,0.009,0.431,0.4449,0.6667
WALMEX.MX,Top3Ensamble,0.927,1.7105,1.3078,0.0151,-0.688,-0.1736,0.6667
WALMEX.MX,rf,0.9895,1.843,1.3576,0.0161,-0.8188,-0.1482,0.6667
WALMEX.MX,xgb,0.9556,1.7764,1.3328,0.0155,-0.753,-0.3741,0.6667
