ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
AAPL,_NaiveModel,high_vol_regime,high_vol_regime,9.63,142.5217,11.9382,0.03,-0.826,-0.6288,0.8333,5,5,False
AAPL,_NaiveModel,high_vol_regime,normal_vol_regime,1.8822,4.5692,2.1376,0.0057,0.9556,0.9627,0.5,5,5,False
AMD,_NaiveModel,high_vol_regime,high_vol_regime,24.5579,804.2863,28.3599,0.0496,0.4084,0.4435,0.8333,5,5,False
AMD,_NaiveModel,high_vol_regime,normal_vol_regime,5.18,26.8323,5.18,0.0104,,1.0,0.5,5,5,False
AMZN,_NaiveModel,high_vol_regime,high_vol_regime,11.695,261.9144,16.1838,0.0458,0.208,0.2406,0.8333,5,5,False
AMZN,_NaiveModel,high_vol_regime,normal_vol_regime,1.8922,4.2122,2.0524,0.0077,0.9247,0.9374,0.5,5,5,False
ASML,_NaiveModel,high_vol_regime,high_vol_regime,55.5118,3803.1674,61.6698,0.033,0.384,0.4921,0.8333,5,5,False
ASML,_NaiveModel,high_vol_regime,normal_vol_regime,4.245,30.6801,5.539,0.0024,0.9573,0.9743,0.5,5,5,False
AVGO,_NaiveModel,high_vol_regime,high_vol_regime,12.5487,175.832,13.2602,0.0328,-1.9062,-1.8599,0.8333,5,5,False
AVGO,_NaiveModel,high_vol_regime,normal_vol_regime,2.0386,6.0505,2.4598,0.0053,0.9697,0.9772,0.5,5,5,False
BRK-B,_NaiveModel,high_vol_regime,high_vol_regime,15.19,230.7362,15.19,0.0296,,1.0,0.5,5,5,False
BRK-B,_NaiveModel,high_vol_regime,normal_vol_regime,2.0764,5.9856,2.4466,0.0042,0.9314,0.9385,0.5,5,5,False
CAT,_NaiveModel,high_vol_regime,high_vol_regime,27.3544,921.9109,30.363,0.0322,0.6428,0.7049,0.6667,5,5,False
CAT,_NaiveModel,high_vol_regime,normal_vol_regime,4.3233,22.1961,4.7113,0.005,0.9699,0.97,0.5,5,5,False
