ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.7538,1.047,1.0232,0.0127,-0.5056,-0.2672,0.6667
BIMBOA.MX,arima,0.6935,0.9081,0.9529,0.0116,-0.3059,-0.2179,0.3333
BIMBOA.MX,lgbm,0.8636,1.2097,1.0999,0.0145,-0.7397,-0.3228,0.6667
BIMBOA.MX,xgb,0.825,1.1549,1.0747,0.0139,-0.6608,-0.3881,0.6667
CEMEXCPO.MX,Top3Ensamble,0.3221,0.1483,0.385,0.016,0.3731,0.457,0.3333
CEMEXCPO.MX,arima,0.2997,0.1246,0.353,0.0149,0.4733,0.486,0.3333
CEMEXCPO.MX,rf,0.3586,0.1884,0.434,0.0178,0.2034,0.4208,0.3333
EEM,Top3Ensamble,0.4707,0.3309,0.5753,0.0087,0.3555,0.6534,0.3333
EEM,arima,0.3162,0.1894,0.4353,0.0059,0.6311,0.6322,0.3333
EEM,rf,0.7582,0.7445,0.8629,0.014,-0.4499,0.6697,0.3333
GFNORTEO.MX,Top3Ensamble,3.2512,16.1237,4.0154,0.0189,-0.0698,-0.0161,0.8333
GFNORTEO.MX,rf,4.2149,30.3455,5.5087,0.0245,-1.0134,-0.834,0.8333
GFNORTEO.MX,xgb,2.5051,10.7809,3.2834,0.0146,0.2847,0.2863,0.8333
GLD,Top3Ensamble,1.9833,6.4819,2.546,0.0051,0.7444,0.8469,0.5
GLD,arima,1.3619,3.2718,1.8088,0.0035,0.871,0.8805,0.5
GLD,rf,2.0714,7.3952,2.7194,0.0053,0.7084,0.8201,0.5
GLD,xgb,2.8118,11.8693,3.4452,0.0072,0.532,0.8114,0.6667
IEF,Top3Ensamble,0.2401,0.0945,0.3074,0.0025,-0.7687,-0.7359,0.3333
IEF,arima,0.2447,0.1047,0.3235,0.0025,-0.9586,-0.7911,0.3333
IEF,lgbm,0.2515,0.1007,0.3174,0.0026,-0.8846,-0.8807,0.3333
IEF,rf,0.2354,0.0948,0.308,0.0024,-0.7748,-0.7363,0.3333
QQQ,Top3Ensamble,4.1683,29.6288,5.4432,0.0068,0.5077,0.532,0.8333
QQQ,lgbm,5.2674,45.6286,6.7549,0.0085,0.2419,0.3073,0.8333
QQQ,rf,3.6193,23.692,4.8674,0.0059,0.6064,0.6172,0.8333
QQQ,xgb,3.7788,24.9935,4.9993,0.0062,0.5848,0.5964,0.8333
SPY,Top3Ensamble,2.902,12.4883,3.5339,0.0043,0.349,0.3661,0.8333
SPY,arima,2.6778,12.3322,3.5117,0.0039,0.3572,0.449,0.8333
SPY,rf,3.0645,13.8509,3.7217,0.0045,0.278,0.346,0.8333
SPY,xgb,3.6484,17.6188,4.1975,0.0054,0.0816,0.2695,0.8333
VNQ,Top3Ensamble,0.3722,0.2093,0.4574,0.0042,0.2165,0.3844,0.3333
VNQ,lgbm,0.4328,0.3145,0.5608,0.0048,-0.1777,0.3019,0.3333
VNQ,rf,0.4032,0.2387,0.4886,0.0045,0.1062,0.1692,0.3333
VNQ,xgb,0.3637,0.1794,0.4236,0.0041,0.3283,0.4099,0.3333
WALMEX.MX,Top3Ensamble,0.6303,0.7421,0.8615,0.0108,0.7575,0.7593,0.0
WALMEX.MX,rf,0.6599,0.7188,0.8478,0.0113,0.7651,0.7681,0.0
WALMEX.MX,xgb,0.6332,0.7872,0.8872,0.0108,0.7428,0.7437,0.0
