ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
AAPL,_NaiveModel,high_vol_regime,high_vol_regime,7.3771,75.2203,8.673,0.025,0.5391,0.6249,0.8333,5,5,False
AAPL,_NaiveModel,high_vol_regime,normal_vol_regime,2.08,5.0813,2.2542,0.0069,0.9067,0.9245,0.5,5,5,False
AMD,_NaiveModel,high_vol_regime,high_vol_regime,21.0282,499.6538,22.3529,0.0418,0.3791,0.6134,0.8333,5,5,False
AMD,_NaiveModel,high_vol_regime,normal_vol_regime,2.52,10.9133,3.3035,0.0051,0.9867,0.9895,0.5,5,5,False
AMZN,_NaiveModel,high_vol_regime,high_vol_regime,5.677,36.0018,6.0001,0.0224,0.8236,0.8303,0.5,5,5,False
AMZN,_NaiveModel,high_vol_regime,normal_vol_regime,1.316,2.3252,1.5249,0.0051,0.9915,0.9915,0.5,5,5,False
ASML,_NaiveModel,high_vol_regime,high_vol_regime,67.2446,5879.2541,76.6763,0.039,0.5726,0.6259,0.8333,5,5,False
ASML,_NaiveModel,high_vol_regime,normal_vol_regime,11.5975,151.8497,12.3227,0.007,0.9632,0.9666,0.5,5,5,False
AVGO,_NaiveModel,high_vol_regime,high_vol_regime,14.7114,242.1819,15.5622,0.0341,0.7854,0.8983,0.5,5,5,False
AVGO,_NaiveModel,high_vol_regime,normal_vol_regime,2.4263,8.0074,2.8297,0.0059,0.9917,0.9923,0.5,5,5,False
BRK-B,_NaiveModel,high_vol_regime,high_vol_regime,6.7,44.98,6.7067,0.0138,-86.9856,-86.8095,0.8333,5,5,False
BRK-B,_NaiveModel,high_vol_regime,normal_vol_regime,2.4846,7.7771,2.7888,0.0052,0.8723,0.8727,0.5,5,5,False
CAT,_NaiveModel,high_vol_regime,high_vol_regime,23.8783,824.0518,28.7063,0.0252,0.7345,0.7674,0.5,5,5,False
CAT,_NaiveModel,high_vol_regime,normal_vol_regime,6.0667,49.947,7.0673,0.0065,0.9824,0.9834,0.5,5,5,False
COST,_NaiveModel,high_vol_regime,high_vol_regime,22.9917,587.9618,24.2479,0.0231,0.7852,0.9783,0.5,5,5,False
COST,_NaiveModel,high_vol_regime,normal_vol_regime,6.0511,44.9988,6.7081,0.0063,0.8675,0.8781,0.5,5,5,False
CRM,_NaiveModel,high_vol_regime,high_vol_regime,7.219,81.2712,9.0151,0.0383,0.7937,0.7957,0.5,5,5,False
CRM,_NaiveModel,high_vol_regime,normal_vol_regime,0.962,1.0944,1.0461,0.0056,0.9893,0.9939,0.3333,5,5,False
GOOGL,_NaiveModel,high_vol_regime,high_vol_regime,8.555,88.9797,9.4329,0.0231,0.0338,0.8285,0.6667,5,5,False
GOOGL,_NaiveModel,high_vol_regime,normal_vol_regime,2.0727,6.0171,2.453,0.0057,0.9813,0.9821,0.5,5,5,False
JNJ,_NaiveModel,high_vol_regime,high_vol_regime,5.7375,34.8539,5.9037,0.0245,0.4426,0.4427,0.8333,5,5,False
JNJ,_NaiveModel,high_vol_regime,normal_vol_regime,1.3782,2.6258,1.6204,0.0059,0.927,0.9373,0.5,5,5,False
JPM,_NaiveModel,high_vol_regime,high_vol_regime,6.718,46.889,6.8476,0.0216,0.6137,0.6153,0.8333,5,5,False
JPM,_NaiveModel,high_vol_regime,normal_vol_regime,1.865,4.5017,2.1217,0.006,0.9809,0.9815,0.5,5,5,False
LLY,_NaiveModel,high_vol_regime,high_vol_regime,22.2346,557.36,23.6085,0.0203,0.4293,0.4406,0.8333,5,5,False
LLY,_NaiveModel,high_vol_regime,normal_vol_regime,7.0375,60.9671,7.8081,0.0063,0.9674,0.9852,0.5,5,5,False
LMT,_NaiveModel,high_vol_regime,high_vol_regime,12.045,162.6315,12.7527,0.0234,0.3455,0.3968,0.8333,5,5,False
LMT,_NaiveModel,high_vol_regime,normal_vol_regime,2.89,11.615,3.4081,0.0055,0.8336,0.8508,0.5,5,5,False
MA,_NaiveModel,high_vol_regime,high_vol_regime,10.0133,128.8259,11.3501,0.0209,-0.3802,-0.0214,0.8333,5,5,False
MA,_NaiveModel,high_vol_regime,normal_vol_regime,2.5575,9.2832,3.0468,0.0052,0.5043,0.5158,0.8333,5,5,False
MCD,_NaiveModel,high_vol_regime,high_vol_regime,6.1533,43.2227,6.5744,0.0226,0.3672,0.5513,0.8333,5,5,False
MCD,_NaiveModel,high_vol_regime,normal_vol_regime,1.7142,3.9619,1.9905,0.0062,0.7122,0.7345,0.5,5,5,False
META,_NaiveModel,high_vol_regime,high_vol_regime,18.7267,427.3985,20.6736,0.0312,0.5383,0.5386,0.8333,5,5,False
META,_NaiveModel,high_vol_regime,normal_vol_regime,2.3255,6.7578,2.5996,0.0039,0.991,0.9915,0.5,5,5,False
MRK,_NaiveModel,high_vol_regime,high_vol_regime,3.6014,15.632,3.9537,0.03,-0.0525,0.1308,0.8333,5,4,True
MRK,_NaiveModel,high_vol_regime,normal_vol_regime,0.8725,0.8807,0.9384,0.0074,0.8811,0.8998,0.0,5,4,True
MSFT,_NaiveModel,high_vol_regime,high_vol_regime,13.5925,211.3094,14.5365,0.0325,0.862,0.862,0.5,5,5,False
MSFT,_NaiveModel,high_vol_regime,normal_vol_regime,2.1871,7.6279,2.7619,0.0053,0.9657,0.9693,0.5,5,5,False
NEE,_NaiveModel,high_vol_regime,high_vol_regime,1.601,3.0161,1.7367,0.0186,0.2002,0.2156,0.8333,5,5,False
NEE,_NaiveModel,high_vol_regime,normal_vol_regime,0.214,0.0693,0.2632,0.0025,0.6803,0.6884,0.3333,5,5,False
NVDA,_NaiveModel,high_vol_regime,high_vol_regime,5.685,42.4672,6.5167,0.0267,0.455,0.4589,0.8333,5,5,False
NVDA,_NaiveModel,high_vol_regime,normal_vol_regime,1.362,2.2771,1.509,0.0064,0.9655,0.9705,0.5,5,5,False
