ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,1.0777,1.7848,1.336,0.0175,-1.1163,-1.0998,0.8333
BIMBOA.MX,lgbm,1.2702,2.3174,1.5223,0.0206,-1.7478,-1.7471,0.8333
BIMBOA.MX,rf,0.9368,1.4092,1.1871,0.0152,-0.671,-0.5904,0.6667
CEMEXCPO.MX,Top3Ensamble,0.3494,0.2369,0.4867,0.0157,-3.0224,-2.3748,0.3333
CEMEXCPO.MX,arima,0.3317,0.1936,0.44,0.0149,-2.2871,-2.1159,0.3333
CEMEXCPO.MX,rf,0.3656,0.2577,0.5077,0.0164,-3.3763,-2.0027,0.3333
CEMEXCPO.MX,xgb,0.4122,0.2871,0.5358,0.0185,-3.8751,-3.1886,0.3333
EEM,Top3Ensamble,0.3693,0.2121,0.4606,0.0063,0.8294,0.8712,0.0
EEM,rf,0.4279,0.2355,0.4853,0.0073,0.8106,0.8266,0.0
EEM,xgb,0.6357,0.568,0.7536,0.0108,0.5432,0.83,0.1667
GFNORTEO.MX,Top3Ensamble,2.6799,15.7296,3.9661,0.0144,0.7939,0.8572,0.5
GFNORTEO.MX,lgbm,2.6097,14.8334,3.8514,0.014,0.8057,0.8602,0.5
GFNORTEO.MX,rf,2.75,16.779,4.0962,0.0147,0.7802,0.853,0.5
GLD,Top3Ensamble,7.4577,84.3735,9.1855,0.0164,0.8679,0.94,0.5
GLD,arima,5.8829,53.9529,7.3453,0.0129,0.9155,0.9524,0.5
GLD,lgbm,8.5327,118.5626,10.8886,0.0186,0.8144,0.8892,0.5
GLD,rf,9.0204,107.8586,10.3855,0.0202,0.8311,0.9467,0.5
IEF,Top3Ensamble,0.2242,0.0677,0.2603,0.0023,-0.5032,-0.1762,0.3333
IEF,linreg,0.4037,0.2285,0.478,0.0042,-4.0706,-0.6197,0.3333
IEF,rf,0.1606,0.0356,0.1886,0.0017,0.2108,0.2811,0.3333
IEF,xgb,0.2286,0.0746,0.2732,0.0024,-0.6557,-0.6406,0.3333
QQQ,Top3Ensamble,3.0122,14.4259,3.7981,0.0048,0.3217,0.4051,0.8333
QQQ,lgbm,2.9714,14.6261,3.8244,0.0048,0.3122,0.314,0.8333
QQQ,rf,3.5675,18.186,4.2645,0.0057,0.1448,0.4319,0.8333
SPY,Top3Ensamble,2.2013,9.1027,3.0171,0.0032,-0.0668,0.2169,0.8333
SPY,lgbm,2.1711,8.9074,2.9845,0.0031,-0.0439,0.0653,0.8333
SPY,rf,2.5943,10.5819,3.253,0.0038,-0.2401,0.2998,0.8333
VNQ,Top3Ensamble,0.5112,0.3962,0.6294,0.0056,0.524,0.5598,0.3333
VNQ,arima,0.5163,0.3932,0.6271,0.0057,0.5275,0.5859,0.3333
VNQ,rf,0.5062,0.4071,0.638,0.0056,0.5109,0.5297,0.3333
WALMEX.MX,Top3Ensamble,0.5331,0.3736,0.6112,0.0092,-0.5769,-0.5581,0.3333
WALMEX.MX,arima,0.5157,0.3685,0.607,0.0089,-0.5553,-0.538,0.3333
WALMEX.MX,lgbm,0.614,0.4755,0.6896,0.0106,-1.0071,-0.9817,0.3333
WALMEX.MX,rf,0.5045,0.3608,0.6007,0.0087,-0.523,-0.3765,0.3333
