ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
AAPL,_NaiveModel,high_vol_regime,high_vol_regime,7.2525,96.2899,9.8127,0.0231,0.2477,0.3054,0.8333,5,5,False
AAPL,_NaiveModel,high_vol_regime,normal_vol_regime,1.4314,2.8063,1.6752,0.0044,0.9849,0.9883,0.5,5,5,False
AMD,_NaiveModel,high_vol_regime,high_vol_regime,23.0992,741.7765,27.2356,0.0484,-0.6836,-0.5169,0.8333,5,5,False
AMD,_NaiveModel,high_vol_regime,normal_vol_regime,1.5575,4.6087,2.1468,0.0033,0.8997,0.9525,0.5,5,5,False
AMZN,_NaiveModel,high_vol_regime,high_vol_regime,9.9486,215.3232,14.6739,0.0379,0.3599,0.4581,0.8333,5,5,False
AMZN,_NaiveModel,high_vol_regime,normal_vol_regime,1.4612,2.7385,1.6548,0.0056,0.989,0.9923,0.5,5,5,False
ASML,_NaiveModel,high_vol_regime,high_vol_regime,52.8575,3537.9708,59.4808,0.0312,0.6332,0.6502,0.8333,5,5,False
ASML,_NaiveModel,high_vol_regime,normal_vol_regime,4.25,24.3364,4.9332,0.0024,0.9897,0.9974,0.5,5,5,False
AVGO,_NaiveModel,high_vol_regime,high_vol_regime,13.6343,225.3583,15.0119,0.0354,0.5744,0.656,0.8333,5,5,False
AVGO,_NaiveModel,high_vol_regime,normal_vol_regime,1.4175,2.5259,1.5893,0.0036,0.9934,0.9947,0.5,5,5,False
BRK-B,_NaiveModel,high_vol_regime,high_vol_regime,8.5925,88.9045,9.4289,0.0167,0.3901,0.6124,0.8333,5,5,False
BRK-B,_NaiveModel,high_vol_regime,normal_vol_regime,2.6436,8.0573,2.8385,0.0052,0.8678,0.8747,0.5,5,5,False
CAT,_NaiveModel,high_vol_regime,high_vol_regime,27.9911,965.5368,31.0731,0.0338,-0.0985,0.2129,0.8333,5,5,False
CAT,_NaiveModel,high_vol_regime,normal_vol_regime,3.245,14.7784,3.8443,0.0039,0.967,0.968,0.5,5,5,False
COST,_NaiveModel,high_vol_regime,high_vol_regime,17.432,319.037,17.8616,0.0183,-1.4749,-1.4749,0.8333,5,5,False
COST,_NaiveModel,high_vol_regime,normal_vol_regime,4.957,31.1334,5.5797,0.0052,0.5649,0.5687,0.8333,5,5,False
CRM,_NaiveModel,high_vol_regime,high_vol_regime,6.3007,44.562,6.6755,0.0332,0.3815,0.4928,0.8333,5,4,True
CRM,_NaiveModel,high_vol_regime,normal_vol_regime,0.66,0.4356,0.66,0.0032,,1.0,0.0,5,4,True
GOOGL,_NaiveModel,high_vol_regime,high_vol_regime,10.065,145.4148,12.0588,0.0287,0.1829,0.2072,0.8333,5,5,False
GOOGL,_NaiveModel,high_vol_regime,normal_vol_regime,2.0689,5.8508,2.4189,0.006,0.8815,0.8817,0.5,5,5,False
JNJ,_NaiveModel,high_vol_regime,high_vol_regime,5.944,44.1667,6.6458,0.0226,-0.3242,-0.3204,0.8333,5,5,False
JNJ,_NaiveModel,high_vol_regime,normal_vol_regime,1.52,2.8163,1.6782,0.0058,0.8827,0.9102,0.5,5,5,False
JPM,_NaiveModel,high_vol_regime,high_vol_regime,7.61,66.2361,8.1386,0.0218,-2.3519,-1.3089,0.8333,5,5,False
JPM,_NaiveModel,high_vol_regime,normal_vol_regime,1.7909,3.8578,1.9641,0.005,0.6641,0.6849,0.8333,5,5,False
LLY,_NaiveModel,high_vol_regime,high_vol_regime,40.2922,1782.6199,42.2211,0.0333,-0.2516,-0.1205,0.8333,5,5,False
LLY,_NaiveModel,high_vol_regime,normal_vol_regime,6.4633,54.6814,7.3947,0.0054,0.8725,0.9299,0.5,5,5,False
LMT,_NaiveModel,high_vol_regime,high_vol_regime,13.112,182.0295,13.4918,0.0222,0.0306,0.0968,0.8333,5,5,False
LMT,_NaiveModel,high_vol_regime,normal_vol_regime,3.834,17.2313,4.1511,0.0066,0.1384,0.5287,0.8333,5,5,False
MA,_NaiveModel,high_vol_regime,high_vol_regime,10.93,125.8548,11.2185,0.0193,-1.0246,-0.5884,0.8333,5,5,False
MA,_NaiveModel,high_vol_regime,normal_vol_regime,1.7625,6.7711,2.6021,0.0031,0.671,0.6787,0.8333,5,5,False
