ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.7206,0.8377,0.9152,0.0114,0.5626,0.5835,0.3333
BIMBOA.MX,arima,0.7883,0.9001,0.9487,0.0125,0.53,0.554,0.3333
BIMBOA.MX,lgbm,0.7424,0.9028,0.9501,0.0117,0.5286,0.5311,0.3333
BIMBOA.MX,xgb,0.7494,0.9542,0.9768,0.0119,0.5017,0.5539,0.3333
CEMEXCPO.MX,Top3Ensamble,0.2364,0.0857,0.2928,0.0141,-1.4145,-0.4453,0.3333
CEMEXCPO.MX,arima,0.171,0.0358,0.1892,0.0103,-0.0087,-0.0077,0.3333
CEMEXCPO.MX,lgbm,0.1721,0.0395,0.1987,0.0103,-0.5312,-0.4362,0.3333
CEMEXCPO.MX,linreg,0.8174,0.8372,0.915,0.049,-31.4866,-5.558,0.3333
CEMEXCPO.MX,rf,0.2163,0.0716,0.2676,0.0129,-0.6714,-0.0028,0.3333
EEM,Top3Ensamble,0.3758,0.3458,0.5881,0.0071,0.2864,0.2991,0.3333
EEM,arima,0.3989,0.3679,0.6066,0.0075,0.2408,0.2581,0.3333
EEM,lgbm,0.1954,0.0541,0.2327,0.0037,0.0579,0.0718,0.3333
EEM,rf,0.3749,0.3385,0.5818,0.0071,0.3016,0.3062,0.3333
GFNORTEO.MX,Top3Ensamble,3.472,15.2584,3.9062,0.0195,-0.3762,-0.342,0.8333
GFNORTEO.MX,arima,3.0238,11.6241,3.4094,0.0168,-0.2472,-0.2267,0.8333
GFNORTEO.MX,lgbm,3.1915,12.721,3.5667,0.0177,-0.3649,-0.2624,0.8333
GFNORTEO.MX,rf,6.134,59.1193,7.6889,0.0347,-7.0986,-6.0333,0.8333
GFNORTEO.MX,xgb,1.7554,5.4215,2.3284,0.0099,0.2573,0.6611,0.8333
GLD,Top3Ensamble,3.7824,19.5575,4.4224,0.0106,0.7749,0.8425,0.5
GLD,arima,3.313,15.5816,3.9474,0.0092,0.8207,0.8546,0.5
GLD,lgbm,3.8243,18.5551,4.3076,0.011,-0.0789,0.3973,0.8333
GLD,rf,4.2447,24.6527,4.9651,0.0116,0.3119,0.4725,0.8333
GLD,xgb,4.8282,30.9315,5.5616,0.0132,0.1367,0.4646,0.8333
IEF,Top3Ensamble,0.1825,0.0613,0.2476,0.0019,-0.6718,-0.4929,0.3333
IEF,arima,0.1862,0.0665,0.2578,0.0019,-0.4119,-0.3887,0.3333
IEF,lgbm,0.2102,0.0871,0.2952,0.0022,-1.3769,-0.7682,0.3333
IEF,rf,0.1834,0.055,0.2345,0.0019,-0.5,-0.4161,0.3333
IEF,xgb,0.1551,0.0406,0.2015,0.0016,-0.6396,-0.5616,0.3333
QQQ,Top3Ensamble,4.4192,45.1643,6.7204,0.0074,-0.2492,-0.2304,0.8333
QQQ,arima,2.6116,7.3258,2.7066,0.0044,0.0028,0.0034,0.8333
QQQ,lgbm,4.3122,43.2712,6.5781,0.0072,-0.1969,-0.1899,0.8333
QQQ,rf,5.6499,70.5013,8.3965,0.0094,-0.7262,-0.6897,0.8333
QQQ,xgb,6.012,63.8287,7.9893,0.01,-0.7655,-0.5798,0.8333
SPY,Top3Ensamble,3.7245,29.7491,5.4543,0.0056,-0.0355,-0.0342,0.8333
SPY,arima,3.5756,32.8003,5.7272,0.0054,-0.1417,-0.0414,0.8333
SPY,lgbm,3.2222,15.7926,3.974,0.0049,-1.0148,-0.5432,0.8333
SPY,rf,4.1535,44.1573,6.6451,0.0063,-0.2715,-0.2365,0.8333
SPY,xgb,4.6697,35.2694,5.9388,0.007,-0.2276,-0.0929,0.8333
VNQ,Top3Ensamble,0.5372,0.5399,0.7348,0.0059,0.4745,0.4828,0.3333
VNQ,lgbm,0.6204,0.6196,0.7871,0.0068,0.3969,0.3975,0.3333
VNQ,rf,0.5716,0.5388,0.734,0.0063,0.4755,0.5221,0.3333
VNQ,xgb,0.5402,0.6003,0.7748,0.006,0.4156,0.4222,0.3333
WALMEX.MX,Top3Ensamble,0.6001,0.6143,0.7838,0.0108,-0.419,-0.3479,0.3333
WALMEX.MX,arima,0.5241,0.4006,0.6329,0.0093,-3.5332,-3.5272,0.3333
WALMEX.MX,linreg,0.7028,0.6302,0.7939,0.0125,-6.1318,-5.9308,0.3333
WALMEX.MX,rf,0.5333,0.4532,0.6732,0.0095,-0.0468,-0.0311,0.3333
WALMEX.MX,xgb,0.8606,1.2395,1.1133,0.0155,-1.5866,-1.1095,0.6667
